Team,Season,EPA/Play,EPA/Play Against
IND,2025,0.2114,-0.0097
BUF,2025,0.1828,0.0784
KC,2025,0.1589,0.0336
DAL,2025,0.1585,0.1475
GB,2025,0.1305,0.0369
NE,2025,0.0998,-0.041
DET,2025,0.0971,-0.0518
SF,2025,0.088,0.0624
LAR,2025,0.0871,-0.0897
PIT,2025,0.0671,0.0308
SEA,2025,0.0602,-0.1324
WAS,2025,0.052,0.1612
NYG,2025,0.0431,0.1394
BAL,2025,0.0401,0.0362
CHI,2025,0.0363,0.0347
MIA,2025,0.0331,0.1046
JAX,2025,0.0237,-0.0035
PHI,2025,0.0213,-0.0352
TB,2025,0.0202,0.0066
DEN,2025,0.0184,-0.0751
CIN,2025,0.0179,0.2024
LAC,2025,0.0032,-0.0143
NYJ,2025,-0.009,0.1077
ARI,2025,-0.0126,0.0487
CAR,2025,-0.018,0.0559
HOU,2025,-0.027,-0.1657
ATL,2025,-0.0356,0.052
MIN,2025,-0.1051,-0.0561
OAK,2025,-0.1632,0.0287
NO,2025,-0.1652,0.0226
TEN,2025,-0.1752,0.0862
CLE,2025,-0.1971,-0.0685
