Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
LAR,2025,1667.18,22.9799,6.57405,-0.757197,5.4686,0.0871,0.2171,-0.08017,-0.0897,-0.1088,-0.102773,0.1767,27.2,17.2,10,8,7.4766,6.99872,10
DET,2025,1643.35,-0.5172,5.62076,-1.69301,0.947266,0.0971,0.2034,-0.0369273,-0.0518,-0.0884,-0.0951982,0.1489,29.2,21.6,7.6,6,6.7139,7.0497,6
PHI,2025,1634.73,-2.1717,5.2761,0.232803,0.468618,0.0213,0.0732,-0.0394877,-0.0352,-0.0725,-0.0428323,0.0565,23.4,20.1,3.3,8,5.8911,7.57436,8
KC,2025,1634.27,7.7777,5.25748,-0.936182,1.92157,0.1589,0.1969,0.0814606,0.0336,-0.0379,0.00526451,0.1253,25.4,18.1,7.3,5,6.9063,6.52373,6
BUF,2025,1626.52,11.6369,4.94768,0.272241,0.543965,0.1828,0.2103,0.0867046,0.0784,-0.0645,0.103441,0.1044,29.2,22.9,6.3,7,6.4014,7.64694,6
SEA,2025,1612.39,4.7015,4.38247,-0.634077,4.45468,0.0602,0.1853,-0.115907,-0.1324,-0.0249,-0.140328,0.1926,29.4,19.3,10.1,7,7.3057,6.61017,9
BAL,2025,1598.53,-3.448,3.82801,-1.15532,-2.65103,0.0401,-0.0278,0.0384378,0.0362,0.0352,0.000610208,0.0038,25.2,25.1,0.1,5,5.0236,6.4895,6
GB,2025,1595.83,4.3449,3.72,-0.163813,1.54973,0.1305,0.2651,0.0038715,0.0369,0.049,-0.0527933,0.0935,24,19.6,4.4,6,6.1774,7.27199,7
IND,2025,1566.84,15.6819,2.56052,-0.453369,5.63289,0.2114,0.1608,0.202278,-0.0097,-0.0653,-0.0134955,0.2211,32.1,20.6,11.5,8,7.4101,6.03187,9
NE,2025,1564.3,17.1079,2.45873,1.44607,5.50872,0.0998,0.2893,-0.0842548,-0.041,-0.0116,-0.0596009,0.1409,26.5455,18.7273,7.8182,9,7.6525,6.39013,7
DEN,2025,1555.48,1.845,2.10605,-0.453369,0.494966,0.0184,0.0513,-0.00720565,-0.0751,-0.1201,-0.0891093,0.0935,23.3636,17.4545,5.9091,9,7.3282,6.87688,8
SF,2025,1541.1,1.9137,1.53099,0.142847,0.766025,0.088,0.149,-0.0801324,0.0624,0.1449,-0.0298527,0.0256,23.7273,22.9091,0.8182,7,5.7286,6.21859,5
LAC,2025,1535.49,5.8332,1.30637,-0.453369,0.539546,0.0032,-0.0294,0.00674429,-0.0143,-0.0907,0.0163143,0.0175,22.3636,21.6364,0.7273,7,5.7154,6.69752,5
HOU,2025,1512.17,-15.6587,0.37374,-1.41958,0.569229,-0.027,0.0248,-0.0540821,-0.1657,-0.2011,-0.0599628,0.1387,22,16.3,5.7,5,6.7056,5.96258,6
TB,2025,1510.44,4.5487,0.30439,-0.69002,0.07104,0.0202,0.0203,0.0271493,0.0066,-0.0053,-0.0633375,0.0136,25.2,25,0.2,6,5.0472,5.43923,4
PIT,2025,1507.95,-9.9312,0.204688,0.472354,0.132476,0.0671,0.0371,-0.0287658,0.0308,0.0022,0.0138151,0.0363,24.6,23.2,1.4,6,5.3466,5.94199,5
