column_name,detected_in_files,file_count,inferred_dtype,dtype_conflicts,missing_rate_avg,missing_rate_min,missing_rate_max,recommended_dtype,notes,value_range_min,value_range_max
/ Catch,current_season/nfelo_nfl_receiving_leaders_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-1.89,1.952
/ DB,current_season/nfelo_qb_rankings_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-0.454,0.33
/ Game,current_season/nfelo_nfl_receiving_leaders_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-3.024,7.436
/ Route,current_season/nfelo_nfl_receiving_leaders_2025_week_11.csv,1,float,,1.0,1.0,1.0,float,High missing rate: 100.0%; Only appears in one file,,
/ Target,current_season/nfelo_nfl_receiving_leaders_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-0.945,1.627
1st Downs,current_season/nfelo_nfl_receiving_leaders_2025_week_11.csv,1,integer,,0.0,0.0,0.0,integer,Only appears in one file,0.0,45.0
3rd Down,current_season/nfelo_nfl_receiving_leaders_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,0.0,0.378
ANY/A,current_season/nfelo_qb_rankings_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,2.019,9.578
ATS %,reference/nfl_head_coaches.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,0.2,0.684
Actual,current_season/nfelo_nfl_win_totals_2025_week_11 (1).csv,1,integer,,0.0,0.0,0.0,integer,Only appears in one file,1.0,8.0
Adj. Total,current_season/nfelo_nfl_win_totals_2025_week_11 (1).csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,4.59,12.356
Against,current_season/power_ratings_nfelo_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,16.667,33.333
Air Yards,current_season/nfelo_qb_rankings_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-0.223,0.282
All,current_season/nfelo_nfl_receiving_leaders_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,0.041,0.388
Atts,current_season/nfelo_qb_rankings_2025_week_11.csv,1,integer,,0.0,0.0,0.0,integer,Only appears in one file,36.0,358.0
Avg Margin,reference/nfl_head_coaches.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-10.615,5.395
Avg PA,reference/nfl_head_coaches.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,18.44,30.778
Avg PF,reference/nfl_head_coaches.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,15.5,29.222
Avg Spread,reference/nfl_head_coaches.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-3.849,6.25
Avg. Opp. Rating,current_season/strength_of_schedule_nfelo_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-1.393,2.056
Avg. Opp. Rating.1,current_season/strength_of_schedule_nfelo_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-3.779,2.971
Avg. Opp. Rating.2,current_season/strength_of_schedule_nfelo_2025_week_11.csv,1,float,,1.0,1.0,1.0,float,High missing rate: 100.0%; Only appears in one file,,
Away,reference/nfl_head_coaches.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,0.25,0.7
CB,current_season/nfelo_qb_rankings_2025_week_11.csv,1,integer,,0.0,0.0,0.0,integer,Only appears in one file,0.0,4.0
CB Opps,current_season/nfelo_qb_rankings_2025_week_11.csv,1,integer,,0.0,0.0,0.0,integer,Only appears in one file,0.0,6.0
CB%,current_season/nfelo_qb_rankings_2025_week_11.csv,1,float,,0.174,0.174,0.174,float,Only appears in one file,0.0,1.0
CPOE,current_season/nfelo_qb_rankings_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-8.142,11.274
CROE,current_season/nfelo_nfl_receiving_leaders_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-21.974,28.235
Carries,current_season/nfelo_qb_rankings_2025_week_11.csv,1,integer,,0.0,0.0,0.0,integer,Only appears in one file,0.0,55.0
Catch Rate,current_season/nfelo_nfl_receiving_leaders_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,0.367,1.0
Change (Week),current_season/nfelo_qb_rankings_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-0.915,0.884
Change (Year),current_season/nfelo_qb_rankings_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-2.745,2.267
Coach,current_season/nfelo_nfl_win_totals_2025_week_11 (1).csv; reference/nfl_head_coaches.csv,2,string,,0.0,0.0,0.0,string,,,
Comp,current_season/nfelo_qb_rankings_2025_week_11.csv,1,integer,,0.0,0.0,0.0,integer,Only appears in one file,21.0,240.0
Comp%,current_season/nfelo_qb_rankings_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,0.537,0.75
Conf Champ,reference/nfl_head_coaches.csv,1,integer,,0.0,0.0,0.0,integer,Only appears in one file,0.0,6.0
Current Rating,current_season/strength_of_schedule_nfelo_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-7.81,7.94
Date,current_season/substack_weekly_proj_elo_2025_week_11.csv; current_season/weekly_projections_ppg_substack_2025_week_11.csv,2,string,,0.0,0.0,0.0,string,,,
Dif,current_season/power_ratings_nfelo_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-14.111,11.5
Division,reference/nfl_head_coaches.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,0.0,0.714
Dog,reference/nfl_head_coaches.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,0.222,0.75
EPA/Play,current_season/epa_tiers_nfelo_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-0.192,0.211
EPA/Play Against,current_season/epa_tiers_nfelo_2025_week_11.csv,1,float,,0.0,0.0,0.0,float,Only appears in one file,-0.176,0.203
