Player,Season,GP,Targets,Recs,Yards,YPC,YPG,TDs,1st Downs,Total,/ Game,/ Catch,/ Target,/ Route,Target Rate,Catch Rate,CROE,aDOT,All,3rd Down,Red Zone
00-0038543,2025,9,85,63,1041,16.5238,115.667,5,45,53.7776,5.97529,0.853612,0.632677,,,0.741176,14.0937,12.8353,0.388128,0.344262,0.153846
00-0036900,2025,9,107,76,831,10.9342,92.3333,5,41,27.3027,3.03363,0.359246,0.255165,,,0.71028,4.43578,8.30841,0.335423,0.323944,0.318182
00-0039075,2025,8,79,66,775,11.7424,96.875,4,40,59.4868,7.43585,0.901315,0.752998,,,0.835443,16.1439,9.32911,0.292593,0.296875,0.156863
00-0037247,2025,9,72,49,764,15.5918,84.8889,6,42,57.5857,6.39841,1.17522,0.799802,,,0.680556,10.5609,11.8333,0.217523,0.235294,0.211538
00-0036963,2025,9,82,64,693,10.8281,77,8,37,44.3935,4.93261,0.693648,0.541384,,,0.780488,10.0144,7.65854,0.311787,0.293333,0.404762
00-0037238,2025,8,86,53,691,13.0377,86.375,6,34,13.8302,1.72878,0.260948,0.160817,,,0.616279,-1.54159,10.1744,0.33463,0.246154,0.433333
00-0036322,2025,9,85,51,686,13.451,76.2222,2,29,-4.15351,-0.461501,-0.0814414,-0.0488649,,,0.6,-0.473795,11.6588,0.304659,0.327869,0.235294
00-0040129,2025,9,77,40,677,16.925,75.2222,6,26,21.1717,2.35241,0.529292,0.274957,,,0.519481,-8.8106,12.6883,0.25,0.297297,0.282051
00-0033280,2025,10,90,69,672,9.73913,67.2,4,32,30.708,3.0708,0.445043,0.3412,,,0.766667,1.3524,2.61111,0.255682,0.229885,0.290909
00-0036613,2025,10,66,46,670,14.5652,67,5,33,39.3315,3.93315,0.855032,0.595931,,,0.69697,9.00099,13.1364,0.219269,0.202703,0.214286
00-0037239,2025,10,95,60,664,11.0667,66.4,4,27,14.1872,1.41872,0.236453,0.149339,,,0.631579,-1.06009,10.6316,0.288754,0.337209,0.27027
00-0036912,2025,9,63,48,657,13.6875,73,3,28,46.1017,5.12241,0.960453,0.731773,,,0.761905,14.6878,11.2857,0.272727,0.360656,0.269231
00-0039915,2025,10,80,51,631,12.3725,63.1,4,29,18.3919,1.83919,0.360625,0.229899,,,0.6375,-2.49801,8.975,0.226629,0.22093,0.2
00-0039064,2025,9,67,50,625,12.5,69.4444,1,25,21.347,2.37189,0.426941,0.318613,,,0.746269,9.06145,8.62687,0.288793,0.253731,0.206897
00-0040124,2025,10,77,46,618,13.4348,61.8,2,37,13.4137,1.34137,0.291603,0.174204,,,0.597403,0.110986,11.013,0.268293,0.333333,0.204082
00-0040128,2025,10,68,50,617,12.34,61.7,3,30,31.5885,3.15885,0.631771,0.464537,,,0.735294,2.36742,5.42647,0.213166,0.173913,0.285714
00-0037744,2025,9,88,61,603,9.88525,67,6,33,41.2827,4.58696,0.676765,0.469121,,,0.693182,1.43108,6.88636,0.288525,0.27027,0.327586
00-0038117,2025,10,80,53,602,11.3585,60.2,2,24,14.3256,1.43256,0.270294,0.17907,,,0.6625,0.617227,8.1875,0.260586,0.344444,0.175
00-0034348,2025,10,67,41,590,14.3902,59,4,28,30.0437,3.00437,0.732773,0.448413,,,0.61194,2.61765,12.6567,0.199405,0.264706,0.155556
00-0037664,2025,8,52,28,585,20.8929,73.125,1,24,25.6051,3.20064,0.914468,0.492406,,,0.538462,0.713789,20.3077,0.205534,0.2,0.0512821
00-0036252,2025,10,73,54,580,10.7407,58,6,35,32.1227,3.21227,0.594865,0.440037,,,0.739726,7.99109,8.0274,0.22884,0.173913,0.22449
00-0031381,2025,9,78,42,568,13.5238,63.1111,9,34,21.2155,2.35728,0.505131,0.271993,,,0.538462,-3.51924,12.8205,0.257426,0.319444,0.366667
00-0039919,2025,9,70,37,559,15.1081,62.1111,6,32,20.5722,2.2858,0.556006,0.293889,,,0.528571,-4.39211,13.3429,0.238908,0.337838,0.282051
00-0031588,2025,10,61,50,554,11.08,55.4,3,28,37.205,3.7205,0.744101,0.609919,,,0.819672,16.984,8.59016,0.220217,0.236842,0.27027
00-0036554,2025,8,73,40,550,13.75,68.75,3,22,4.45549,0.556936,0.111387,0.0610341,,,0.547945,-5.70382,11.4384,0.26259,0.246377,0.341463
00-0030506,2025,9,54,41,540,13.1707,60,3,28,29.3632,3.26257,0.716175,0.543762,,,0.759259,8.3027,5.94444,0.178808,0.151515,0.188679
00-0030279,2025,10,80,52,539,10.3654,53.9,4,34,26.8871,2.68871,0.51706,0.336089,,,0.65,0.35957,8.6125,0.226629,0.360465,0.236364
00-0039849,2025,9,63,34,525,15.4412,58.3333,4,25,28.3868,3.15409,0.834906,0.450584,,,0.539683,-4.80709,12.2698,0.206557,0.175676,0.189655
00-0037545,2025,10,67,45,502,11.1556,50.2,2,22,-0.928643,-0.0928643,-0.0206365,-0.0138603,,,0.671642,2.21269,11.1343,0.212698,0.1625,0.222222
00-0038544,2025,8,62,37,502,13.5676,62.75,6,18,7.26383,0.907978,0.19632,0.117158,,,0.596774,-4.23575,10.2742,0.213058,0.220588,0.219512
00-0035640,2025,9,54,32,502,15.6875,55.7778,5,23,18.7879,2.08755,0.587122,0.347924,,,0.592593,-3.46874,10.7222,0.205323,0.164384,0.230769
00-0036040,2025,10,60,43,491,11.4186,49.1,3,24,19.4379,1.94379,0.452045,0.323965,,,0.716667,1.37258,7.36667,0.182371,0.174419,0.189189
00-0036358,2025,5,54,35,491,14.0286,98.2,1,19,7.97526,1.59505,0.227865,0.14769,,,0.648148,2.78029,12.1296,0.290323,0.288889,0.217391
00-0039065,2025,9,49,40,489,12.225,54.3333,3,23,36.4278,4.04754,0.910696,0.743425,,,0.816327,12.5833,5.65306,0.186312,0.2,0.142857
00-0038996,2025,8,44,32,489,15.2812,61.125,6,22,39.1239,4.89048,1.22262,0.889179,,,0.727273,3.26612,4.56818,0.187234,0.2,0.315789
00-0033307,2025,9,42,31,482,15.5484,53.5556,0,23,25.404,2.82267,0.819485,0.604858,,,0.738095,9.45946,10.881,0.132075,0.113924,0.0444444
00-0036410,2025,9,57,32,481,15.0312,53.4444,6,24,33.5139,3.72377,1.04731,0.587964,,,0.561404,0.89044,13.3333,0.178683,0.267606,0.204545
00-0037240,2025,9,43,27,474,17.5556,52.6667,4,23,26.4101,2.93445,0.978151,0.614188,,,0.627907,3.70123,14.9302,0.163498,0.226667,0.0714286
00-0038542,2025,9,54,43,467,10.8605,51.8889,2,18,15.3043,1.70048,0.355914,0.283413,,,0.796296,2.50743,1.5,0.188153,0.180556,0.258065
00-0040189,2025,8,44,35,466,13.3143,58.25,2,18,16.8426,2.10532,0.481217,0.382786,,,0.795455,14.5283,7.86364,0.150685,0.109589,0.24
00-0037261,2025,9,59,45,457,10.1556,50.7778,3,21,14.2549,1.58388,0.316776,0.241609,,,0.762712,3.32674,4.16949,0.221805,0.21875,0.230769
