Date,Time (ET),Matchup,Favorite,Win Prob.
2025-11-13,8:15PM,New York Jets at New England Patriots,NE -10.5,82.06656451
2025-11-16,9:30AM,Washington Commanders vs Miami Dolphins,WSH PK,50.6694069
2025-11-16,1:00PM,Carolina Panthers at Atlanta Falcons,ATL -5.5,68.09357188
2025-11-16,1:00PM,Chicago Bears at Minnesota Vikings,MIN -4,64.12499984
2025-11-16,1:00PM,Cincinnati Bengals at Pittsburgh Steelers,PIT -7,73.86285197
2025-11-16,1:00PM,Green Bay Packers at New York Giants,GB -3.5,62.71321745
2025-11-16,1:00PM,Houston Texans at Tennessee Titans,HOU -10.5,82.22059791
2025-11-16,1:00PM,Los Angeles Chargers at Jacksonville Jaguars,JAX -1,52.8738899
2025-11-16,1:00PM,Tampa Bay Buccaneers at Buffalo Bills,BUF -3,61.29155294
2025-11-16,4:05PM,Seattle Seahawks at Los Angeles Rams,LAR -4.5,65.58956862
2025-11-16,4:05PM,San Francisco 49ers at Arizona Cardinals,SF -0.5,51.06899552
2025-11-16,4:25PM,Kansas City Chiefs at Denver Broncos,KC -1,53.73541183
2025-11-16,4:25PM,Baltimore Ravens at Cleveland Browns,BAL -7.5,75.21277343
2025-11-16,8:20PM,Detroit Lions at Philadelphia Eagles,PHI -1,54.48421755
2025-11-17,8:15PM,Dallas Cowboys at Las Vegas Raiders,DAL -0.5,51.23213406
