game_id,season,week,gameday,home_team,away_team,home_score,away_score,spread_line,predictor_spread_nfelo,predictor_spread_fivethirtyeight,predictor_spread_ballknower,predictor_spread_massey
2024_01_KC_BAL,2024,1,2024-09-05,KC,BAL,27,20,-3.0,-2.8,-3.5,-3.2,-3.1
2024_01_LAR_DET,2024,1,2024-09-08,LAR,DET,21,26,-1.5,-2.1,-1.8,-2.5,-1.2
2024_01_PHI_GB,2024,1,2024-09-06,PHI,GB,34,29,-2.5,-3.2,-2.8,-2.1,-2.9
2024_01_BUF_ARI,2024,1,2024-09-08,BUF,ARI,34,28,-6.5,-7.2,-6.8,-6.1,-7.5
2024_01_MIA_JAX,2024,1,2024-09-08,MIA,JAX,20,17,-3.5,-3.8,-4.1,-3.2,-3.9
2024_01_SF_NYJ,2024,1,2024-09-09,SF,NYJ,32,19,-4.0,-4.5,-4.2,-3.8,-4.8
2024_01_DAL_CLE,2024,1,2024-09-08,DAL,CLE,33,17,-5.5,-6.1,-5.8,-5.2,-6.3
2024_01_HOU_IND,2024,1,2024-09-08,HOU,IND,29,27,-2.5,-2.8,-2.2,-3.1,-2.4
2024_02_KC_CIN,2024,2,2024-09-15,KC,CIN,26,25,-3.5,-3.2,-3.8,-3.1,-3.6
2024_02_PHI_ATL,2024,2,2024-09-16,PHI,ATL,22,21,-6.0,-6.5,-5.8,-6.2,-6.8
2024_02_BUF_MIA,2024,2,2024-09-12,BUF,MIA,31,10,-2.5,-3.1,-2.8,-2.2,-3.4
2024_02_LAR_SF,2024,2,2024-09-15,LAR,SF,23,30,3.5,3.2,3.8,2.9,3.1
2024_02_GB_IND,2024,2,2024-09-15,GB,IND,16,10,-3.0,-2.8,-3.2,-3.5,-2.5
2024_02_BAL_LV,2024,2,2024-09-15,BAL,LV,23,26,-8.5,-9.2,-8.8,-8.1,-9.5
2024_03_SF_LAR,2024,3,2024-09-22,SF,LAR,27,24,-3.5,-3.8,-3.2,-4.1,-3.6
2024_03_KC_ATL,2024,3,2024-09-22,KC,ATL,22,17,-4.0,-4.5,-4.2,-3.8,-4.8
2024_03_PHI_NO,2024,3,2024-09-22,PHI,NO,15,12,-2.5,-3.1,-2.8,-2.2,-3.2
2024_03_BUF_JAX,2024,3,2024-09-23,BUF,JAX,47,10,-7.5,-8.2,-7.8,-7.1,-8.5
2024_03_DAL_BAL,2024,3,2024-09-22,DAL,BAL,25,28,1.5,2.1,1.8,1.2,2.5
2024_03_DET_ARI,2024,3,2024-09-22,DET,ARI,20,13,-6.0,-6.5,-5.8,-6.8,-6.2
2024_04_MIN_GB,2024,4,2024-09-29,MIN,GB,31,29,-1.5,-1.8,-1.2,-2.1,-1.6
2024_04_KC_LAC,2024,4,2024-09-29,KC,LAC,17,10,-3.5,-3.2,-3.8,-3.1,-3.9
2024_04_CIN_CAR,2024,4,2024-09-29,CIN,CAR,34,24,-7.5,-8.1,-7.8,-7.2,-8.5
2024_04_BUF_BAL,2024,4,2024-09-29,BUF,BAL,35,10,-2.5,-2.8,-2.2,-3.1,-2.4
2024_04_PHI_TB,2024,4,2024-09-29,PHI,TB,33,16,-3.0,-3.5,-3.2,-2.8,-3.8
2024_05_DAL_PIT,2024,5,2024-10-06,DAL,PIT,17,20,-2.5,-2.1,-2.8,-2.2,-2.9
2024_05_SF_ARI,2024,5,2024-10-06,SF,ARI,24,23,-7.0,-7.5,-6.8,-7.8,-7.2
2024_05_KC_NO,2024,5,2024-10-07,KC,NO,26,13,-5.5,-6.1,-5.8,-5.2,-6.5
2024_05_BUF_HOU,2024,5,2024-10-06,BUF,HOU,23,20,-2.5,-3.1,-2.8,-2.2,-3.2
2024_05_BAL_CIN,2024,5,2024-10-06,BAL,CIN,41,38,-3.0,-3.5,-3.2,-2.8,-3.8
