"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Pittsburgh Steelers","10","2025","Pittsburgh","Steelers","442","34.6","0.47","61.8","0.31","59.3","0.33","40.7","0.48","2.7","27.8","12.2","4.1","31.0","11.8","6.8"
"2","Denver Broncos","11","2025","Denver","Broncos","438","37.0","0.29","59.4","0.31","52.1","0.39","47.9","0.20","5.9","26.9","12.3","4.1","23.5","13.0","10.5"
"3","Seattle Seahawks","10","2025","Seattle","Seahawks","433","15.2","0.46","77.6","0.33","42.7","0.35","57.3","0.39","3.0","11.3","12.5","0.9","30.3","16.4","18.5"
"4","San Francisco 49ers","11","2025","San Francisco","49ers","427","18.5","0.77","77.3","0.37","54.8","0.48","45.2","0.48","1.4","17.1","5.9","0.0","37.7","20.6","13.1"
"5","New York Giants","11","2025","New York","Giants","427","40.5","0.65","53.9","0.33","58.5","0.42","41.5","0.56","3.7","34.2","10.5","2.6","23.4","15.9","4.0"
"6","Indianapolis Colts","10","2025","Indianapolis","Colts","420","27.9","0.46","64.5","0.29","48.6","0.37","51.4","0.41","4.5","21.4","16.0","1.9","26.2","13.6","8.8"
"7","Los Angeles Rams","10","2025","Los Angeles","Rams","404","18.3","0.50","76.5","0.28","54.2","0.35","45.8","0.35","1.7","16.6","17.3","0.0","37.1","13.6","8.4"
"8","Jacksonville Jaguars","10","2025","Jacksonville","Jaguars","404","19.3","0.81","75.7","0.33","46.8","0.40","53.2","0.54","3.7","14.9","9.7","0.7","31.2","14.9","20.0"
"9","New England Patriots","11","2025","New England","Patriots","402","27.6","0.79","69.4","0.31","51.7","0.44","48.3","0.48","2.2","24.4","20.4","1.0","27.4","18.9","2.7"
"10","Baltimore Ravens","10","2025","Baltimore","Ravens","400","35.0","0.50","59.8","0.35","60.0","0.40","40.0","0.47","6.8","28.3","13.3","0.0","31.0","5.8","9.8"
"11","Tampa Bay Buccaneers","10","2025","Tampa Bay","Buccaneers","399","23.8","0.58","71.4","0.39","47.9","0.51","52.1","0.41","4.8","14.8","16.0","4.3","32.6","18.3","4.5"
"12","Dallas Cowboys","10","2025","Dallas","Cowboys","389","16.2","0.88","79.9","0.46","50.9","0.52","49.1","0.63","3.3","12.9","23.7","0.0","38.0","11.3","6.9"
"13","Green Bay Packers","10","2025","Green Bay","Packers","388","19.3","0.27","76.8","0.36","52.6","0.34","47.4","0.36","0.5","18.6","17.5","0.3","33.5","10.6","15.2"
"14","Philadelphia Eagles","10","2025","Philadelphia","Eagles","386","26.7","0.46","67.9","0.36","51.8","0.41","48.2","0.37","2.3","22.5","3.9","1.8","28.8","14.8","20.5"
"15","Los Angeles Chargers","11","2025","Los Angeles","Chargers","381","13.6","0.67","79.0","0.28","41.5","0.36","58.5","0.37","2.1","8.4","12.9","3.1","33.1","26.2","6.8"
"16","Arizona Cardinals","10","2025","Arizona","Cardinals","376","17.8","0.98","76.1","0.28","42.8","0.47","57.2","0.38","2.7","13.8","14.4","1.3","27.7","27.1","6.9"
"17","Cincinnati Bengals","10","2025","Cincinnati","Bengals","375","25.9","0.71","68.8","0.41","55.5","0.46","44.5","0.72","4.8","18.9","11.5","2.1","34.4","4.3","18.7"
"18","Carolina Panthers","11","2025","Carolina","Panthers","372","15.9","0.44","79.8","0.39","54.0","0.47","46.0","0.38","1.6","14.2","10.8","0.0","39.2","13.2","16.7"
"19","Washington Commanders","11","2025","Washington","Commanders","369","28.7","0.55","62.6","0.53","54.7","0.61","45.3","0.54","3.3","23.8","13.6","1.6","28.7","14.4","6.0"
"20","Las Vegas Raiders","10","2025","Las Vegas","Raiders","368","12.5","0.65","84.0","0.39","53.8","0.47","46.2","0.41","3.5","8.2","14.9","0.8","45.7","15.5","7.9"
"21","Detroit Lions","10","2025","Detroit","Lions","364","37.6","0.61","58.0","0.38","58.2","0.46","41.8","0.46","2.2","30.5","11.8","4.9","27.2","16.5","2.5"
"22","Miami Dolphins","11","2025","Miami","Dolphins","363","25.6","0.79","69.7","0.43","45.7","0.44","54.3","0.65","5.2","19.0","28.4","1.4","26.7","9.4","5.2"
