"Player Details","","","","","","Rushing","","","","","","Receiving","","","","","","","","","","Total","","","","","Efficiency","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","AY","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G","XFP %","XTD","XTD/G"
"1","Christian McCaffrey","SF","RB","11","2025","193","707","6","386","26","5","321","90","74","732","5","207","558","213","16","6","268","1439","11","42","599","3.66","2.00","0.13","2.6","2.28","8.13","7.54","2.88","0.22","8.1","5.37","0.16","2.24","4.1","64.3","66.5","130.8","25.8","283.9","272.5","24.8","32.9","10.9","0.99"
"2","De'Von Achane","MIA","RB","11","2025","164","900","5","418","30","16","239","71","54","370","4","16","445","114","15","2","219","1270","9","45","532","5.49","2.55","0.18","9.8","1.55","5.21","8.24","2.11","0.28","3.7","5.80","0.21","2.43","8.2","81.8","33.6","115.5","21.4","235.0","206.1","18.7","29.3","5.6","0.51"
"3","Jonathan Taylor","IND","RB","10","2025","189","1139","15","539","37","15","234","32","30","260","2","-38","298","67","7","2","219","1399","17","44","606","6.03","2.85","0.20","7.9","1.11","8.13","9.93","2.23","0.23","6.7","6.39","0.20","2.77","7.8","113.9","26.0","139.9","27.4","273.9","190.5","19.0","26.1","10.6","1.06"
"4","Bijan Robinson","ATL","RB","10","2025","158","783","4","446","40","10","256","57","47","506","2","78","466","100","9","6","205","1289","6","49","546","4.96","2.82","0.25","6.3","1.98","8.88","9.91","2.13","0.19","12.8","6.29","0.24","2.66","7.8","78.3","50.6","128.9","21.1","210.9","180.0","18.0","26.1","4.8","0.48"
"5","Saquon Barkley","PHI","RB","10","2025","175","662","4","333","23","7","152","33","28","207","2","11","233","91","8","2","203","869","6","31","424","3.78","1.90","0.13","4.0","1.36","6.27","8.32","3.25","0.29","7.1","4.28","0.15","2.09","4.4","66.2","20.7","86.9","15.1","150.9","151.2","15.1","24.1","4.6","0.46"
"6","James Cook","BUF","RB","10","2025","182","968","7","503","32","9","142","23","21","190","1","26","164","67","7","3","203","1158","8","39","570","5.32","2.76","0.18","4.9","1.34","8.26","7.81","3.19","0.33","14.3","5.70","0.19","2.81","5.9","96.8","19.0","115.8","18.4","183.8","147.0","14.7","21.1","5.3","0.53"
"7","Josh Jacobs","GB","RB","10","2025","169","648","11","363","27","7","138","34","28","237","0","-61","276","82","10","4","197","885","11","37","445","3.83","2.15","0.16","4.1","1.72","6.97","9.86","2.93","0.36","14.3","4.49","0.19","2.26","5.6","64.8","23.7","88.5","18.2","181.5","166.4","16.6","24.2","8.3","0.83"
"8","Rico Dowdle","CAR","RB","11","2025","168","833","5","453","27","8","138","28","23","197","1","-18","223","44","2","2","191","1030","6","29","497","4.96","2.70","0.16","4.8","1.43","7.04","9.70","1.91","0.09","8.7","5.39","0.15","2.60","5.2","75.7","17.9","93.6","14.7","162.0","147.3","13.4","19.5","5.4","0.49"
"9","Javonte Williams","DAL","RB","10","2025","161","809","8","543","20","9","222","33","26","93","1","-39","134","47","6","0","187","902","9","26","590","5.02","3.37","0.12","5.6","0.42","2.82","5.15","1.81","0.23","","4.82","0.14","3.16","4.8","80.9","9.3","90.2","16.8","168.2","165.3","16.5","19.8","8.9","0.89"
"10","Kyren Williams","LA","RB","10","2025","158","750","6","389","19","5","175","30","23","182","3","77","114","34","2","1","181","932","9","21","423","4.75","2.46","0.12","3.2","1.04","6.07","4.96","1.48","0.09","4.3","5.15","0.12","2.34","3.3","75.0","18.2","93.2","16.8","168.2","154.1","15.4","19.6","8.0","0.80"
