"Team Details","","","","","","Offense Stats","","","","","","","","Defense Stats","","","","",""
"Rank","Name","G","Season","Location","Team Name","RUSH GRADE","PASS GRADE","ADJ YBC/ATT","PRESS %","PrROE","Team","TM ATT","YBCO","Name","ADJ YBC/ATT","PRESS %","PrROE","ATT","YBCO"
"1","Detroit Lions","10","2025","Detroit","Lions","2.98","-0.18","2.61","32.9","2.87","DET","281","687","New York Giants","2.73","37.5","5.54","251","470"
"2","Los Angeles Rams","10","2025","Los Angeles","Rams","2.33","-0.84","2.28","31.2","1.08","LA","270","576","Tampa Bay Buccaneers","2.48","43.1","13.92","260","405"
"3","Minnesota Vikings","10","2025","Minnesota","Vikings","2.33","-1.07","2.42","41.1","9.77","MIN","222","484","Green Bay Packers","2.11","39.4","7.51","308","513"
"4","Indianapolis Colts","10","2025","Indianapolis","Colts","2.30","-0.71","2.80","32.4","3.01","IND","274","671","Kansas City Chiefs","2.10","40.9","10.66","227","432"
"5","Pittsburgh Steelers","10","2025","Pittsburgh","Steelers","2.30","0.63","1.61","29.4","-0.09","PIT","229","329","Chicago Bears","2.82","33.0","0.39","255","479"
"6","Chicago Bears","10","2025","Chicago","Bears","2.18","0.23","2.43","38.4","-0.50","CHI","302","632","Pittsburgh Steelers","2.13","33.9","4.82","257","682"
"7","Baltimore Ravens","10","2025","Baltimore","Ravens","2.12","-1.05","2.94","42.6","12.54","BLT","274","697","New York Jets","1.54","34.7","4.60","265","434"
"8","New England Patriots","11","2025","New England","Patriots","2.05","-0.81","1.94","45.3","15.15","NE","316","477","Cincinnati Bengals","2.51","33.6","-0.39","238","373"
"9","New York Jets","10","2025","New York","Jets","2.03","-1.68","2.71","50.0","20.98","NYJ","282","618","Baltimore Ravens","1.74","35.3","2.46","301","413"
"10","Seattle Seahawks","10","2025","Seattle","Seahawks","2.01","0.29","1.72","29.2","-3.07","SEA","307","486","Tennessee Titans","2.52","36.1","6.75","242","344"
"11","Carolina Panthers","11","2025","Carolina","Panthers","1.98","0.13","2.20","40.5","9.35","CAR","317","632","San Francisco 49ers","2.06","27.4","-3.98","284","596"
"12","Atlanta Falcons","10","2025","Atlanta","Falcons","1.90","0.17","2.11","36.9","3.82","ATL","269","510","New Orleans Saints","2.11","34.0","1.08","293","578"
"13","New Orleans Saints","10","2025","New Orleans","Saints","1.82","-1.57","1.86","39.9","10.20","NO","249","408","Atlanta Falcons","2.25","41.7","12.15","313","563"
"14","Philadelphia Eagles","10","2025","Philadelphia","Eagles","1.78","-1.37","2.03","42.5","9.59","PHI","292","489","Dallas Cowboys","2.28","44.0","10.76","265","404"
"15","Kansas City Chiefs","10","2025","Kansas City","Chiefs","1.75","-0.36","1.74","37.2","9.39","KC","259","426","Indianapolis Colts","2.15","31.9","0.84","239","393"
"16","Houston Texans","10","2025","Houston","Texans","1.71","-1.10","1.53","36.3","6.77","HST","259","340","Buffalo Bills","2.51","40.3","10.85","226","273"
"17","Jacksonville Jaguars","10","2025","Jacksonville","Jaguars","1.66","0.23","2.25","31.2","1.69","JAX","295","564","Arizona Cardinals","1.86","34.0","2.66","219","335"
"18","Green Bay Packers","10","2025","Green Bay","Packers","1.64","-1.55","1.92","40.0","7.01","GB","278","492","Minnesota Vikings","1.79","46.1","15.12","253","493"
"19","San Francisco 49ers","11","2025","San Francisco","49ers","1.64","0.78","1.59","31.7","0.43","SF","295","393","Carolina Panthers","2.30","31.2","-1.66","279","496"
"20","Arizona Cardinals","10","2025","Arizona","Cardinals","1.63","-0.46","2.28","36.8","7.05","ARZ","241","456","Jacksonville Jaguars","1.83","35.1","4.18","262","404"
"21","Tampa Bay Buccaneers","10","2025","Tampa Bay","Buccaneers","1.62","-0.46","2.04","37.5","5.80","TB","264","491","Los Angeles Rams","1.74","34.9","5.41","241","481"
"22","New York Giants","11","2025","New York","Giants","1.56","-1.43","1.68","42.6","12.62","NYG","323","480","Detroit Lions","2.20","40.1","8.29","298","693"
"23","Cincinnati Bengals","10","2025","Cincinnati","Bengals","1.46","-0.64","1.90","36.5","5.19","CIN","191","323","New England Patriots","1.60","40.3","7.83","308","719"
"24","Buffalo Bills","10","2025","Buffalo","Bills","1.27","-0.69","2.17","37.5","5.82","BUF","301","560","Houston Texans","1.44","37.4","7.73","282","617"
"25","Dallas Cowboys","10","2025","Dallas","Cowboys","1.26","-0.65","1.67","35.6","2.95","DAL","258","395","Philadelphia Eagles","1.65","41.7","10.12","280","531"
"26","Tennessee Titans","10","2025","Tennessee","Titans","1.04","-0.88","1.75","38.2","6.24","TEN","200","282","Seattle Seahawks","1.71","37.9","9.20","286","636"
"27","Cleveland Browns","10","2025","Cleveland","Browns","0.93","-0.62","1.26","41.4","10.12","CLV","247","323","Las Vegas Raiders","1.64","35.1","2.66","275","403"
"28","Las Vegas Raiders","10","2025","Las Vegas","Raiders","0.85","-1.27","1.34","36.7","4.86","LV","226","267","Cleveland Browns","1.75","42.2","14.44","283","401"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"RUSH GRADE","Rushing OL/DL Matchup Grade"
"PASS GRADE","Passing OL/DL Matchup Grade"
"ADJ YBC/ATT","Adjusted Rushing Yards Before Contact per Attempt - Adjusted to remove scrambles, trick plays, and QB kneels/sneaks"
"PRESS %","Percentage of Dropbacks Under Pressure"
"PrROE","Pressure Rate Over Expectation - Pressure Rate vs. Expected Pressure Rate based on QB Time to Throw"
"Name","Upcoming Opponent"
"ADJ YBC/ATT","Adjusted Rushing Yards Before Contact per Attempt - Adjusted to remove scrambles, trick plays, and QB kneels/sneaks"
"PRESS %","Percentage of Dropbacks Under Pressure"
"PrROE","Pressure Rate Over Expectation - Pressure Rate vs. Expected Pressure Rate based on QB Time to Throw"
