"Player Details","","","","","","Total","","","Rushing","","","Passing","","","Inside 5","","","Inside 10","","","Inside 20","","","FPTS",""
"Rank","Name","Team","POS","G","Season","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","FP/G","FP"
"1","Justin Jefferson","MIN","WR","10","2025","552","574","96.2","193","204","94.6","359","370","97.0","16","18","88.9","31","34","91.2","88","91","96.7","14.3","143.1"
"2","Ja'Marr Chase","CIN","WR","10","2025","559","587","95.2","169","184","91.8","390","403","96.8","25","27","92.6","40","42","95.2","79","81","97.5","19.5","194.7"
"3","Cade Otton","TB","TE","10","2025","590","624","94.6","221","243","90.9","369","381","96.9","16","16","100.0","29","30","96.7","75","80","93.8","7.5","75.1"
"4","Tre Tucker","LV","WR","10","2025","530","569","93.1","189","212","89.2","341","357","95.5","7","11","63.6","25","29","86.2","70","79","88.6","12.2","121.8"
"5","DeVonta Smith","PHI","WR","10","2025","538","586","91.8","220","264","83.3","318","322","98.8","18","24","75.0","31","37","83.8","68","76","89.5","13.4","133.5"
"6","Drake London","ATL","WR","9","2025","515","562","91.6","207","239","86.6","308","323","95.4","16","18","88.9","34","38","89.5","68","74","91.9","19.8","178.0"
"7","A.J. Brown","PHI","WR","9","2025","483","529","91.3","200","234","85.5","283","295","95.9","21","24","87.5","31","34","91.2","60","66","90.9","11.3","101.7"
"8","Jordan Addison","MIN","WR","7","2025","381","421","90.5","115","134","85.8","266","287","92.7","10","14","71.4","22","27","81.5","64","69","92.8","12.7","88.8"
"9","Wan'Dale Robinson","NYG","WR","11","2025","640","708","90.4","256","290","88.3","384","418","91.9","26","34","76.5","50","60","83.3","105","120","87.5","12.1","133.0"
"10","Sam LaPorta","DET","TE","9","2025","499","554","90.1","224","256","87.5","275","298","92.3","21","23","91.3","45","50","90.0","100","107","93.5","11.9","106.9"
"11","Trey McBride","ARZ","TE","10","2025","583","650","89.7","179","215","83.3","404","435","92.9","27","27","100.0","61","64","95.3","112","119","94.1","18.5","184.8"
"12","Rome Odunze","CHI","WR","10","2025","582","649","89.7","238","274","86.9","344","375","91.7","21","26","80.8","41","49","83.7","97","111","87.4","13.5","135.0"
"13","DK Metcalf","PIT","WR","10","2025","492","555","88.6","178","222","80.2","314","333","94.3","21","26","80.8","35","41","85.4","74","86","86.0","12.2","122.1"
"14","Garrett Wilson","NYJ","WR","7","2025","359","405","88.6","134","168","79.8","225","237","94.9","10","11","90.9","22","23","95.7","39","45","86.7","14.2","99.5"
"15","Jameson Williams","DET","WR","10","2025","543","613","88.6","224","276","81.2","319","337","94.7","22","25","88.0","47","54","87.0","99","112","88.4","11.8","118.2"
"16","Tetairoa McMillan","CAR","WR","11","2025","615","695","88.5","244","302","80.8","371","393","94.4","20","24","83.3","43","47","91.5","103","117","88.0","13.9","152.8"
"17","Amon-Ra St. Brown","DET","WR","10","2025","540","613","88.1","223","276","80.8","317","337","94.1","23","25","92.0","48","54","88.9","98","112","87.5","18.8","188.4"
"18","Courtland Sutton","DEN","WR","11","2025","606","691","87.7","214","272","78.7","392","419","93.6","16","26","61.5","32","44","72.7","74","95","77.9","12.4","135.9"
"19","Zay Flowers","BLT","WR","10","2025","489","566","86.4","199","256","77.7","290","310","93.5","24","36","66.7","37","52","71.2","74","101","73.3","13.1","131.4"
"20","Tucker Kraft","GB","TE","8","2025","420","489","85.9","184","215","85.6","236","274","86.1","11","18","61.1","29","39","74.4","79","95","83.2","14.7","117.2"
"21","Theo Johnson","NYG","TE","11","2025","608","708","85.9","242","290","83.4","366","418","87.6","29","34","85.3","55","60","91.7","107","120","89.2","9.2","101.0"
"22","Tee Higgins","CIN","WR","10","2025","503","587","85.7","133","184","72.3","370","403","91.8","20","27","74.1","27","42","64.3","63","81","77.8","13.3","133.4"
"23","Jerry Jeudy","CLV","WR","10","2025","544","636","85.5","173","230","75.2","371","406","91.4","8","21","38.1","21","38","55.3","67","87","77.0","7.3","72.6"
"24","Kyle Pitts","ATL","TE","10","2025","516","611","84.5","179","256","69.9","337","355","94.9","14","18","77.8","30","40","75.0","61","78","78.2","9.6","96.4"
"25","Michael Pittman","IND","WR","10","2025","518","618","83.8","197","254","77.6","321","364","88.2","32","36","88.9","54","63","85.7","100","122","82.0","15.0","150.0"
