"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Total Rushing","","","Scrambles","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","ATT","YDS","TD","SCRM","YDS","TD","FP/DB","FP/OPP","FP/G","FP","OPP"
"1","Drake Maye","NE","QB","11","2025","400","320","230","71.9","2836","257.8","8.86","20","5","132","113.2","36","9.0","163","8.00","70","285","2","44","288","2","0.58","0.54","20.9","230.1","426"
"2","Justin Herbert","LAC","QB","11","2025","440","376","250","66.5","2691","244.6","7.16","19","9","124","94.2","35","8.0","213","5.97","54","345","1","29","303","1","0.49","0.46","19.6","216.1","465"
"3","Daniel Jones","IND","QB","10","2025","359","319","223","69.9","2659","265.9","8.34","15","7","130","101.6","21","5.8","152","7.33","40","143","5","19","127","1","0.56","0.53","20.3","202.7","380"
"4","Patrick Mahomes","KC","QB","10","2025","417","361","233","64.5","2625","262.5","7.27","18","6","130","95.9","20","4.8","136","6.77","48","288","4","36","286","2","0.54","0.53","22.6","225.8","429"
"5","Dak Prescott","DAL","QB","10","2025","395","362","253","69.9","2587","258.7","7.15","21","6","130","102.5","16","4.1","99","6.98","33","117","1","17","120","0","0.51","0.49","20.0","200.2","411"
"6","Matthew Stafford","LA","QB","10","2025","355","338","223","66.0","2557","255.7","7.57","27","2","132","112.7","14","3.9","88","8.29","24","-9","0","3","11","0","0.58","0.55","20.5","205.4","376"
"7","Sam Darnold","SEA","QB","10","2025","287","272","191","70.2","2541","254.1","9.34","17","10","111","105.0","10","3.5","62","8.40","15","50","0","5","46","0","0.56","0.54","16.1","160.6","297"
"8","Jared Goff","DET","QB","10","2025","334","310","216","69.7","2490","249.0","8.03","21","4","123","110.8","20","6.0","125","7.89","12","22","0","4","24","0","0.54","0.53","18.0","179.8","342"
"9","Josh Allen","BUF","QB","10","2025","342","293","204","69.6","2456","245.6","8.38","18","7","118","105.6","20","5.8","112","7.63","65","351","10","29","268","2","0.75","0.68","25.6","256.3","378"
"10","Jordan Love","GB","QB","10","2025","343","310","210","67.7","2421","242.1","7.81","15","3","115","103.2","16","4.7","122","7.56","33","145","0","17","127","0","0.50","0.47","17.0","170.3","359"
"11","Bo Nix","DEN","QB","11","2025","417","387","237","61.2","2421","220.1","6.26","18","8","118","86.1","12","2.9","73","5.88","50","213","3","18","176","1","0.50","0.46","18.8","207.1","449"
"12","Baker Mayfield","TB","QB","10","2025","381","340","216","63.5","2365","236.5","6.96","17","3","106","97.0","20","5.2","143","6.74","27","197","1","21","188","1","0.49","0.48","18.5","185.3","387"
"13","Caleb Williams","CHI","QB","10","2025","368","325","194","59.7","2329","232.9","7.17","13","4","106","89.9","16","4.3","106","6.75","52","272","3","27","267","2","0.53","0.50","19.7","196.6","393"
"14","Joe Flacco","CLV, CIN","QB","9","2025","393","373","228","61.1","2268","252.0","6.08","14","9","105","80.8","17","4.3","108","5.22","15","28","1","3","25","0","0.38","0.36","16.4","147.5","405"
"15","Trevor Lawrence","JAX","QB","10","2025","388","338","202","59.8","2151","215.1","6.36","11","8","103","79.4","26","6.7","157","5.09","49","181","5","24","153","2","0.43","0.41","16.8","168.1","413"
"16","Mac Jones","SF","QB","9","2025","313","289","201","69.6","2151","239.0","7.44","13","6","107","97.4","16","5.1","108","6.67","31","61","0","8","55","0","0.44","0.41","15.3","138.1","336"
"17","Tua Tagovailoa","MIA","QB","11","2025","341","312","213","68.3","2123","193.0","6.80","17","13","111","88.1","21","6.2","133","5.24","14","38","0","8","37","0","0.42","0.42","13.2","144.7","347"
"18","Geno Smith","LV","QB","10","2025","354","309","205","66.3","2082","208.2","6.74","12","13","101","80.9","31","8.8","214","4.48","34","102","0","14","91","0","0.37","0.35","13.0","130.5","374"
"19","Jalen Hurts","PHI","QB","10","2025","322","269","180","66.9","1995","199.5","7.42","16","1","87","107.0","26","8.1","146","7.20","73","265","6","27","181","2","0.63","0.55","20.3","203.3","368"
"20","Michael Penix","ATL","QB","9","2025","302","276","166","60.1","1982","220.2","7.18","9","3","99","88.5","13","4.3","101","6.66","21","70","1","13","77","1","0.41","0.40","13.9","125.3","310"
"21","Aaron Rodgers","PIT","QB","10","2025","315","289","192","66.4","1969","196.9","6.81","19","7","84","97.7","19","6.0","121","6.21","14","26","0","7","32","0","0.48","0.47","15.2","152.4","322"
"22","Bryce Young","CAR","QB","10","2025","347","314","197","62.7","1962","196.2","6.25","14","7","104","86.0","19","5.5","142","5.36","23","83","1","14","86","1","0.40","0.39","14.0","139.8","356"
"23","Cam Ward","TEN","QB","10","2025","387","332","194","58.4","1954","195.4","5.89","6","6","98","73.8","41","10.6","318","3.98","21","79","0","14","89","0","0.25","0.25","9.8","98.1","394"
"24","C.J. Stroud","HST","QB","8","2025","279","242","161","66.5","1702","212.8","7.03","11","5","77","93.4","17","6.1","148","5.98","29","189","0","20","179","0","0.45","0.44","15.7","126.0","288"
"25","Spencer Rattler","NO","QB","8","2025","290","256","174","68.0","1586","198.3","6.20","8","5","74","86.8","18","6.2","104","5.17","31","167","0","16","114","0","0.37","0.35","13.3","106.1","305"
"26","Jacoby Brissett","ARZ","QB","7","2025","241","213","142","66.7","1570","224.3","7.37","10","3","75","98.1","18","7.5","143","6.46","21","80","1","10","71","0","0.47","0.45","16.1","112.8","252"
"27","Lamar Jackson","BLT","QB","7","2025","210","172","117","68.0","1442","206.0","8.38","15","3","68","115.5","23","11.0","152","7.46","39","226","1","15","134","0","0.69","0.62","20.6","144.3","234"
"28","Jaxson Dart","NYG","QB","9","2025","246","204","128","62.7","1417","157.4","6.95","10","3","62","93.5","21","8.5","83","6.22","57","317","7","21","165","1","0.67","0.59","18.4","165.4","282"
"29","Justin Fields","NYJ","QB","9","2025","259","204","128","62.7","1259","139.9","6.17","7","1","58","89.5","27","10.4","192","5.03","71","383","4","28","242","1","0.57","0.49","16.3","146.7","302"
"30","Carson Wentz","MIN","QB","5","2025","197","169","110","65.1","1216","243.2","7.20","6","5","58","85.8","19","9.6","125","5.24","11","57","0","9","57","0","0.38","0.38","15.1","75.3","199"
"31","Jayden Daniels","WAS","QB","6","2025","219","168","105","62.5","1184","197.3","7.05","8","2","55","94.4","17","7.8","78","6.36","54","262","2","34","230","0","0.53","0.48","19.3","115.6","239"
"32","Marcus Mariota","WAS","QB","7","2025","158","140","92","65.7","1065","152.1","7.61","7","5","45","90.3","10","6.3","63","6.11","27","193","1","8","96","1","0.58","0.52","13.1","91.9","177"
"33","Kyler Murray","ARZ","QB","5","2025","193","161","110","68.3","962","192.4","5.98","6","3","50","88.6","16","8.3","111","4.72","29","173","1","16","142","1","0.42","0.40","16.4","81.8","206"
"34","Dillon Gabriel","CLV","QB","8","2025","213","184","109","59.2","937","117.1","5.09","7","2","45","80.8","18","8.5","125","4.27","14","86","0","11","89","0","0.34","0.33","9.0","72.1","216"
"35","J.J. McCarthy","MIN","QB","5","2025","164","140","74","52.9","842","168.4","6.01","6","8","39","61.7","15","9.1","77","3.39","21","110","2","9","82","1","0.45","0.42","14.7","73.7","176"
"36","Russell Wilson","NYG","QB","6","2025","141","119","69","58.0","831","138.5","6.98","3","3","32","77.4","10","7.1","66","5.35","18","106","0","12","91","0","0.37","0.36","8.8","52.8","147"
"37","Brock Purdy","SF","QB","3","2025","106","99","67","67.7","786","262.0","7.94","7","4","45","98.3","3","2.8","29","7.03","8","23","0","4","30","0","0.55","0.53","19.6","58.7","110"
"38","Jake Browning","CIN","QB","4","2025","137","124","80","64.5","757","189.3","6.10","6","8","32","70.5","9","6.6","60","3.44","9","39","1","4","31","0","0.41","0.40","14.0","56.2","142"
"39","Davis Mills","HST","QB","4","2025","134","120","72","60.0","726","181.5","6.05","3","1","39","82.2","8","6.0","60","5.32","10","44","1","6","46","1","0.39","0.38","13.1","52.4","138"
"40","Tyler Shough","NO","QB","4","2025","92","83","51","61.4","586","146.5","7.06","3","2","24","84.7","5","5.4","43","5.83","8","11","0","4","15","0","0.38","0.36","8.6","34.5","96"
"41","Tyrod Taylor","NYJ","QB","3","2025","91","69","43","62.3","379","126.3","5.49","3","3","23","73.3","9","9.9","51","3.24","14","80","0","13","81","0","0.34","0.34","10.4","31.2","92"
"42","Cooper Rush","BLT","QB","4","2025","53","52","34","65.4","303","75.8","5.83","0","4","13","48.8","1","1.9","16","2.02","4","-4","0","0","0","0","0.13","0.12","1.7","6.7","57"
"43","Andy Dalton","CAR","QB","4","2025","46","37","25","67.6","293","73.3","7.92","1","1","17","89.1","8","17.4","54","4.76","5","-2","0","1","1","0","0.27","0.25","3.1","12.5","50"
"44","Tyler Huntley","BLT","QB","2","2025","46","37","27","73.0","254","127.0","6.86","1","0","11","100.5","6","13.0","31","5.65","11","92","0","3","56","0","0.51","0.43","11.7","23.4","54"
"45","Kirk Cousins","ATL","QB","3","2025","53","52","32","61.5","250","83.3","4.81","0","0","11","73.4","1","1.9","5","4.62","3","4","0","0","0","0","0.20","0.19","3.5","10.4","56"
"46","Jameis Winston","NYG","QB","1","2025","31","29","19","65.5","201","201.0","6.93","0","1","10","71.2","2","6.5","7","4.81","3","10","1","0","0","0","0.42","0.38","13.0","13.0","34"
"47","Joe Burrow","CIN","QB","2","2025","43","36","21","58.3","189","94.5","5.25","2","0","13","91.1","5","11.6","26","4.95","2","3","0","2","3","0","0.37","0.37","7.9","15.9","43"
"48","Mason Rudolph","PIT","QB","3","2025","18","18","14","77.8","139","46.3","7.72","1","0","9","117.4","0","","0","8.83","4","-1","0","0","0","0","0.53","0.43","3.2","9.5","22"
"49","Joe Milton","DAL","QB","2","2025","9","9","6","66.7","99","49.5","11.00","1","1","5","100.9","0","","0","8.22","0","0","0","0","0","0","0.77","0.77","3.5","7.0","9"
"50","Trey Lance","LAC","QB","2","2025","15","12","6","50.0","81","40.5","6.75","0","0","3","71.9","2","13.3","12","4.93","4","12","0","1","11","0","0.30","0.25","2.2","4.4","18"
