"Team Details","","","","","","Week","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","PROE"
"1","Kansas City Chiefs","10","2025","Kansas City","Chiefs","13.1","3.6","10.2","7.3","19.0","11.6","3.7","14.8","1.1","","19.4","","","","","","","","10.3"
"2","Arizona Cardinals","10","2025","Arizona","Cardinals","10.0","8.6","4.3","12.3","4.2","6.9","6.4","","6.7","3.8","14.4","","","","","","","","7.7"
"3","Los Angeles Chargers","11","2025","Los Angeles","Chargers","13.5","10.5","4.0","14.8","-4.6","5.0","10.3","2.6","7.5","4.8","1.6","","","","","","","","6.3"
"4","Los Angeles Rams","10","2025","Los Angeles","Rams","2.3","10.4","-0.1","3.6","13.1","8.1","10.8","","-1.9","8.6","6.3","","","","","","","","5.9"
"5","New England Patriots","11","2025","New England","Patriots","14.3","-2.7","7.3","-5.5","10.2","1.1","8.9","3.8","5.5","5.5","8.0","","","","","","","","5.5"
"6","Cincinnati Bengals","10","2025","Cincinnati","Bengals","2.7","9.3","-8.3","3.6","9.1","4.7","10.4","8.3","9.7","","-3.3","","","","","","","","5.0"
"7","Houston Texans","10","2025","Houston","Texans","-2.6","3.7","7.3","-1.9","8.0","","8.2","1.8","5.1","2.1","11.1","","","","","","","","4.4"
"8","Denver Broncos","11","2025","Denver","Broncos","7.5","7.5","6.6","7.5","1.2","-5.2","3.8","7.4","1.6","1.0","7.7","","","","","","","","4.3"
"9","Dallas Cowboys","10","2025","Dallas","Cowboys","2.5","5.9","4.4","1.4","4.2","3.0","3.7","-0.2","5.8","","6.2","","","","","","","","3.8"
"10","Indianapolis Colts","10","2025","Indianapolis","Colts","-2.4","-3.6","1.9","3.3","6.0","1.8","7.8","15.1","12.6","-5.5","","","","","","","","","3.4"
"11","Jacksonville Jaguars","10","2025","Jacksonville","Jaguars","5.8","7.7","10.3","-2.8","4.9","6.4","6.3","","-5.5","1.8","-9.0","","","","","","","","2.5"
"12","Las Vegas Raiders","10","2025","Las Vegas","Raiders","11.0","6.7","-14.0","-7.4","-2.8","-3.0","-4.5","","15.9","-2.4","17.9","","","","","","","","2.2"
"13","Minnesota Vikings","10","2025","Minnesota","Vikings","-10.8","2.8","-1.3","9.0","6.7","","2.7","5.3","-1.9","7.8","-3.4","","","","","","","","2.1"
"14","San Francisco 49ers","11","2025","San Francisco","49ers","-3.9","10.2","9.2","-0.7","4.5","5.6","-10.6","12.9","-6.5","0.6","4.5","","","","","","","","2.0"
"15","Pittsburgh Steelers","10","2025","Pittsburgh","Steelers","0.6","0.4","-6.7","1.1","","0.2","0.0","3.2","14.4","0.4","3.0","","","","","","","","1.9"
"16","Tampa Bay Buccaneers","10","2025","Tampa Bay","Buccaneers","8.0","6.4","-4.0","-2.2","6.8","-1.6","8.7","-3.5","","4.5","-10.2","","","","","","","","1.3"
"17","Green Bay Packers","10","2025","Green Bay","Packers","0.5","2.7","-2.9","-1.3","","2.2","0.6","8.7","-3.6","-2.8","-0.2","","","","","","","","0.3"
"18","Tennessee Titans","10","2025","Tennessee","Titans","-3.9","-2.2","2.3","-5.2","-5.1","5.4","11.4","-5.8","-5.2","","7.8","","","","","","","","-0.1"
"19","Atlanta Falcons","10","2025","Atlanta","Falcons","0.3","-9.5","0.2","-9.1","","3.8","7.7","-4.0","7.9","-3.8","-0.4","","","","","","","","-0.7"
"20","Buffalo Bills","10","2025","Buffalo","Bills","1.6","-8.1","3.9","0.1","3.3","1.3","","-8.3","-4.5","0.6","3.0","","","","","","","","-0.9"
"21","Cleveland Browns","10","2025","Cleveland","Browns","4.5","-0.2","-1.6","-7.7","-3.1","6.2","-7.7","3.3","","-4.1","-0.7","","","","","","","","-0.9"
"22","Washington Commanders","11","2025","Washington","Commanders","6.7","10.0","-2.4","-7.2","8.2","6.4","-3.0","4.7","-13.2","-17.3","-8.3","","","","","","","","-1.2"
"23","Chicago Bears","10","2025","Chicago","Bears","6.7","-4.4","-1.6","-0.9","","-4.2","-9.1","0.1","3.9","-0.4","-3.0","","","","","","","","-1.2"
"24","Detroit Lions","10","2025","Detroit","Lions","-2.6","-0.5","-7.6","-0.9","-0.3","-1.2","-2.6","","-0.1","3.4","-0.2","","","","","","","","-1.3"
"25","New York Giants","11","2025","New York","Giants","6.3","10.3","-7.1","-9.0","1.7","0.1","-2.0","-5.9","3.7","5.8","-18.3","","","","","","","","-1.3"
"26","Philadelphia Eagles","10","2025","Philadelphia","Eagles","1.5","-8.6","-9.4","-3.2","22.2","3.6","-2.3","0.3","","-8.2","-7.1","","","","","","","","-1.4"
"27","New Orleans Saints","10","2025","New Orleans","Saints","3.6","-5.8","-4.0","-12.2","-4.0","-4.1","2.6","16.3","-7.0","-8.0","","","","","","","","","-1.9"
"28","Miami Dolphins","11","2025","Miami","Dolphins","5.7","5.2","-6.2","-3.3","15.0","-2.0","-8.8","-6.2","1.6","-12.1","-12.7","","","","","","","","-2.4"
"29","Baltimore Ravens","10","2025","Baltimore","Ravens","-8.3","10.2","8.1","11.4","-14.8","-13.2","","-9.1","0.5","-1.8","-8.9","","","","","","","","-2.8"
"30","Carolina Panthers","11","2025","Carolina","Panthers","-1.4","7.4","1.9","-7.9","-14.0","-11.9","-1.6","-14.6","-13.5","-5.9","1.0","","","","","","","","-5.1"
"31","Seattle Seahawks","10","2025","Seattle","Seahawks","-8.4","-1.6","-4.2","-5.8","2.9","-1.0","0.1","","-1.5","-23.0","-8.1","","","","","","","","-5.2"
"32","New York Jets","10","2025","New York","Jets","-17.8","-7.6","5.5","-6.0","6.3","-12.7","5.1","-7.5","","-22.4","-8.6","","","","","","","","-5.9"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"W1","Week 1"
"W2","Week 2"
"W3","Week 3"
"W4","Week 4"
"W5","Week 5"
"W6","Week 6"
"W7","Week 7"
"W8","Week 8"
"W9","Week 9"
"W10","Week 10"
"W11","Week 11"
"W12","Week 12"
"W13","Week 13"
"W14","Week 14"
"W15","Week 15"
"W16","Week 16"
"W17","Week 17"
"W18","Week 18"
"PROE","Pass Rate Over Expectation"
