"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Jaxon Smith-Njigba","SEA","WR","10","2025","262","90.0","12.3","1159","48.3","94","9.4","34.1","0.36","72","76.6","1146","114.6","44.8","4.37","12.19","15.92","294","4.08","112","1.56","5","29.4","6","3","2","17","81","45.5","8","0.11","52","0.198","3","3.2","77","81.9","10","10.6","12","8","66.7","3","125.6","40.9","3.6","78.6","20.6","0.4","0.4","0.84","21.9","218.9","177.1","17.7","0.67","174.9"
"2","George Pickens","DAL","WR","10","2025","354","87.6","12.9","1033","37.0","80","8.0","21.6","0.23","58","72.5","908","90.8","33.8","2.56","11.35","15.66","291","5.02","155","2.67","7","31.8","13","15","4","17","67","27.7","12","0.21","50","0.141","2","2.5","64","80.0","0","","19","14","73.7","4","133.8","24.8","2.8","89.8","10.2","","","0.54","19.1","190.8","162.0","16.2","0.46","162.0"
"3","Ja'Marr Chase","CIN","WR","10","2025","380","94.3","8.7","1004","39.1","115","11.5","30.8","0.30","79","68.7","861","86.1","35.9","2.27","7.49","10.90","428","5.42","153","1.94","5","25.0","16","5","2","15","101","40.7","14","0.18","43","0.113","5","4.3","93","80.9","18","15.7","22","10","45.5","3","94.1","34.3","-0.1","62.1","36.8","0.3","0.8","0.51","19.5","194.7","207.5","20.7","0.54","206.5"
"4","Puka Nacua","LA","WR","9","2025","237","73.6","8.8","758","29.4","86","9.6","28.1","0.36","73","84.9","850","94.4","35.8","3.59","9.88","11.64","329","4.51","188","2.58","4","18.2","8","1","0","8","78","36.4","10","0.14","43","0.181","0","","75","87.2","10","11.6","12","10","83.3","3","123.4","37.7","2.2","59.5","38.4","1.3","0.8","0.82","21.6","194.3","138.8","15.4","0.58","136.4"
"5","Drake London","ATL","WR","9","2025","279","86.4","10.2","921","39.6","90","10.0","30.3","0.32","60","66.7","810","90.0","39.3","2.90","9.00","13.50","237","3.95","90","1.50","6","66.7","11","7","4","10","77","38.5","3","0.05","39","0.140","2","2.2","67","74.4","1","1.1","18","10","55.6","5","112.7","34.6","0.9","69.9","30.1","","","0.64","19.8","178.0","163.1","18.1","0.58","163.1"
"6","Tetairoa McMillan","CAR","WR","11","2025","357","90.8","11.5","981","42.7","85","7.7","24.2","0.24","54","63.5","748","68.0","33.2","2.10","8.80","13.85","230","4.26","63","1.17","4","26.7","14","9","3","12","66","29.6","7","0.13","44","0.123","7","8.2","70","82.4","2","2.4","17","6","35.3","1","97.6","28.8","0.3","80.7","19.3","","","0.43","13.9","152.8","159.4","14.5","0.45","159.4"
"7","Justin Jefferson","MIN","WR","10","2025","348","94.1","11.5","1073","40.0","93","9.3","29.2","0.27","56","60.2","747","74.7","35.0","2.15","8.03","13.34","301","5.38","126","2.25","2","15.4","11","7","2","17","78","36.1","6","0.11","32","0.092","6","6.5","64","68.8","11","11.8","14","10","71.4","2","61.5","32.7","-0.4","74.7","23.9","","1.4","0.41","14.3","143.1","171.8","17.2","0.49","171.3"
"8","Amon-Ra St. Brown","DET","WR","10","2025","295","87.5","8.6","780","39.1","91","9.1","29.1","0.31","66","72.5","735","73.5","29.5","2.49","8.08","11.14","306","4.64","70","1.06","8","36.4","17","6","3","5","83","39.2","8","0.12","38","0.129","8","8.8","76","83.5","7","7.7","8","6","75.0","1","116.3","33.5","0.3","47.8","51.5","","0.7","0.64","18.8","188.4","170.9","17.1","0.56","166.6"
"9","Jaylen Waddle","MIA","WR","11","2025","276","76.2","13.1","931","43.8","71","6.5","21.5","0.26","49","69.0","722","65.6","32.6","2.62","10.17","14.73","198","4.04","44","0.90","5","29.4","9","6","3","13","65","29.3","4","0.08","35","0.127","4","5.6","54","76.1","2","2.8","10","9","90.0","1","102.0","27.7","1.5","76.8","22.5","","0.7","0.55","13.8","151.5","136.6","12.4","0.49","136.6"
"10","Trey McBride","ARZ","TE","10","2025","380","87.4","7.3","698","26.7","95","9.5","25.3","0.25","71","74.7","718","71.8","28.4","1.89","7.56","10.11","304","4.28","119","1.68","7","43.8","20","13","5","5","80","33.9","11","0.15","38","0.100","1","1.1","78","82.1","12","12.6","21","15","71.4","1","120.4","29.6","-0.1","9.2","61.3","28.9","0.5","0.49","18.5","184.8","178.3","17.8","0.47","178.3"
