"Player Details","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"1","Jaxon Smith-Njigba","SEA","WR","10","2025","94","34.1","72","1146","44.8","15.92","12.19","114.6","76.6","5","29.4","2","6","2","21.9","218.9","218.9","146.9"
"2","George Pickens","DAL","WR","10","2025","80","21.6","58","908","33.8","15.66","11.35","90.8","72.5","7","31.8","6","13","2","19.1","190.8","190.8","132.8"
"3","Ja'Marr Chase","CIN","WR","10","2025","115","30.8","79","861","35.9","10.90","7.49","86.1","68.7","5","25.0","4","16","1","19.5","194.7","194.7","115.7"
"4","Puka Nacua","LA","WR","9","2025","86","28.1","73","850","35.8","11.64","9.88","94.4","84.9","4","18.2","4","8","1","21.6","194.3","194.3","121.3"
"5","Drake London","ATL","WR","9","2025","90","30.3","60","810","39.3","13.50","9.00","90.0","66.7","6","66.7","8","11","1","19.8","178.0","178.0","118.0"
"6","Tetairoa McMillan","CAR","WR","11","2025","85","24.2","54","748","33.2","13.85","8.80","68.0","63.5","4","26.7","6","14","0","13.9","152.8","152.8","98.8"
"7","Justin Jefferson","MIN","WR","10","2025","93","29.2","56","747","35.0","13.34","8.03","74.7","60.2","2","15.4","5","11","0","14.3","143.1","143.1","87.1"
"8","Amon-Ra St. Brown","DET","WR","10","2025","91","29.1","66","735","29.5","11.14","8.08","73.5","72.5","8","36.4","11","17","1","18.8","188.4","188.4","122.4"
"9","Jaylen Waddle","MIA","WR","11","2025","71","21.5","49","722","32.6","14.73","10.17","65.6","69.0","5","29.4","3","9","0","13.8","151.5","151.5","102.5"
"10","Trey McBride","ARZ","TE","10","2025","95","25.3","71","718","28.4","10.11","7.56","71.8","74.7","7","43.8","9","20","0","18.5","184.8","184.8","113.8"
"11","Emeka Egbuka","TB","WR","10","2025","84","24.7","45","717","30.3","15.93","8.54","71.7","53.6","6","35.3","4","11","0","15.6","155.6","155.6","110.6"
"12","Zay Flowers","BLT","WR","10","2025","70","26.7","53","703","35.2","13.26","10.04","70.3","75.7","1","6.3","2","5","1","13.1","131.4","131.4","78.4"
"13","DeVonta Smith","PHI","WR","10","2025","68","25.3","49","665","33.3","13.57","9.78","66.5","72.1","3","18.8","1","6","0","13.4","133.5","133.5","84.5"
"14","Chris Olave","NO","WR","10","2025","91","26.5","60","664","30.3","11.07","7.30","66.4","65.9","4","36.4","3","9","0","14.9","149.1","149.1","89.1"
"15","Stefon Diggs","NE","WR","11","2025","71","22.0","59","659","23.1","11.17","9.28","59.9","83.1","3","15.0","5","10","0","13.0","142.9","142.9","83.9"
"16","Courtland Sutton","DEN","WR","11","2025","71","18.3","45","649","26.8","14.42","9.14","59.0","63.4","4","22.2","3","7","0","12.4","135.9","135.9","90.9"
"17","Ladd McConkey","LAC","WR","11","2025","83","21.4","54","644","23.2","11.93","7.76","58.5","65.1","4","21.1","2","11","0","12.9","142.4","142.4","88.4"
"18","Nico Collins","HST","WR","9","2025","81","25.1","49","642","30.4","13.10","7.93","71.3","60.5","4","33.3","6","13","1","15.4","139.0","139.0","90.0"
"19","Wan'Dale Robinson","NYG","WR","11","2025","85","24.1","57","638","26.1","11.19","7.51","58.0","67.1","2","15.4","2","7","0","12.1","133.0","133.0","76.0"
"20","Travis Kelce","KC","TE","10","2025","65","18.0","50","631","24.0","12.62","9.71","63.1","76.9","4","22.2","5","9","0","13.9","139.1","139.1","89.1"
"21","Tyler Warren","IND","TE","10","2025","64","19.8","50","617","23.1","12.34","9.64","61.7","78.1","3","20.0","5","11","0","13.6","136.3","136.3","86.3"
"22","Rome Odunze","CHI","WR","10","2025","73","22.1","39","600","25.2","15.38","8.22","60.0","53.4","6","42.9","5","10","0","13.5","135.0","135.0","96.0"
"23","Keenan Allen","LAC","WR","11","2025","82","21.1","56","592","21.4","10.57","7.22","53.8","68.3","4","21.1","5","12","1","12.7","139.2","139.2","83.2"
"24","Alec Pierce","IND","WR","8","2025","51","19.7","28","585","26.8","20.89","11.47","73.1","54.9","1","8.3","1","2","0","11.6","92.5","92.5","64.5"
"25","Michael Pittman","IND","WR","10","2025","68","21.0","54","580","21.7","10.74","8.53","58.0","79.4","6","40.0","4","7","0","15.0","150.0","150.0","96.0"
"26","Davante Adams","LA","WR","10","2025","84","24.8","43","569","22.3","13.23","6.77","56.9","51.2","10","37.0","16","24","0","16.0","159.9","159.9","116.9"
"27","Jameson Williams","DET","WR","10","2025","49","15.7","31","562","22.5","18.13","11.47","56.2","63.3","5","22.7","1","4","0","11.8","118.2","118.2","87.2"
"28","CeeDee Lamb","DAL","WR","7","2025","59","22.0","40","557","29.8","13.93","9.44","79.6","67.8","2","16.7","3","8","0","15.4","107.9","107.9","67.9"
"29","DK Metcalf","PIT","WR","10","2025","63","20.5","37","551","26.1","14.89","8.75","55.1","58.7","5","25.0","5","9","0","12.2","122.1","122.1","85.1"
