"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"1","Ladd McConkey","LAC","WR","11","2025","381","0.22","1.69","0.37","136","0.26","2.22","0.45","230","0.18","1.44","0.28","194","0.21","1.93","0.41","187","0.22","1.44","0.33"
"2","Ja'Marr Chase","CIN","WR","10","2025","380","0.30","2.27","0.51","114","0.27","1.32","0.40","251","0.31","2.72","0.55","146","0.38","2.02","0.52","234","0.25","2.42","0.51"
"3","Trey McBride","ARZ","TE","10","2025","380","0.25","1.89","0.49","70","0.21","1.46","0.37","286","0.26","2.07","0.47","188","0.23","1.75","0.37","192","0.27","2.03","0.60"
"4","Wan'Dale Robinson","NYG","WR","11","2025","368","0.23","1.73","0.36","102","0.21","1.67","0.34","252","0.25","1.86","0.39","190","0.22","1.71","0.36","178","0.24","1.76","0.36"
"5","Tetairoa McMillan","CAR","WR","11","2025","357","0.24","2.10","0.43","86","0.27","2.64","0.50","253","0.23","1.96","0.37","187","0.26","2.27","0.37","170","0.22","1.91","0.50"
"6","Quentin Johnston","LAC","WR","10","2025","355","0.17","1.41","0.35","116","0.21","1.78","0.51","225","0.15","1.21","0.27","184","0.19","1.78","0.36","171","0.15","1.02","0.33"
"7","George Pickens","DAL","WR","10","2025","354","0.23","2.56","0.54","102","0.26","3.25","0.68","235","0.22","2.43","0.49","166","0.30","3.81","0.86","188","0.16","1.47","0.25"
"8","Jerry Jeudy","CLV","WR","10","2025","350","0.20","1.02","0.21","137","0.25","1.32","0.26","204","0.16","0.74","0.17","192","0.23","1.20","0.26","158","0.16","0.80","0.14"
"9","Justin Jefferson","MIN","WR","10","2025","348","0.27","2.15","0.41","109","0.28","1.68","0.42","220","0.27","2.56","0.44","178","0.31","2.56","0.51","170","0.22","1.71","0.31"
"10","Tee Higgins","CIN","WR","10","2025","347","0.18","1.57","0.38","103","0.26","2.17","0.60","236","0.14","1.36","0.30","127","0.24","2.02","0.54","220","0.14","1.30","0.29"
"11","Michael Wilson","ARZ","WR","10","2025","344","0.16","1.21","0.25","64","0.20","2.31","0.37","257","0.14","0.97","0.19","166","0.19","1.67","0.28","178","0.13","0.78","0.21"
"12","Courtland Sutton","DEN","WR","11","2025","339","0.21","1.91","0.40","69","0.29","3.25","0.60","260","0.19","1.63","0.35","185","0.24","2.23","0.44","154","0.17","1.53","0.34"
