"Player Details","","","","","","Overall","","","","","Wide","","","","","","","Slot","","","","","","","Inline","","","","","","","Backfield","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"1","Ladd McConkey","LAC","WR","11","2025","381","83","0.22","83.7","1.69","135","35.4","16.3","28","0.21","29.7","2.24","242","63.5","38.0","54","0.22","53.2","1.37","4","1.0","2.1","1","0.25","0.9","2.25","0","0.0","","0","0.00","","0.00"
"2","Trey McBride","ARZ","TE","10","2025","380","95","0.25","87.4","1.89","35","9.2","4.6","8","0.23","8.0","1.83","233","61.3","35.2","53","0.23","53.6","1.93","110","28.9","52.1","33","0.30","25.3","1.78","2","0.5","0.7","1","0.50","0.5","4.00"
"3","Ja'Marr Chase","CIN","WR","10","2025","380","115","0.30","94.3","2.27","236","62.1","31.9","79","0.33","58.6","2.62","140","36.8","25.7","36","0.26","34.7","1.74","1","0.3","0.6","0","0.00","0.2","0.00","3","0.8","1.0","0","0.00","0.7","0.00"
"4","Wan'Dale Robinson","NYG","WR","11","2025","368","85","0.23","88.0","1.73","109","29.6","14.8","24","0.22","26.1","1.81","256","69.6","41.2","59","0.23","61.2","1.70","0","0.0","","0","0.00","","0.00","3","0.8","1.0","2","0.67","0.7","2.33"
"5","Tetairoa McMillan","CAR","WR","11","2025","357","85","0.24","90.8","2.10","288","80.7","40.3","69","0.24","73.3","1.98","69","19.3","10.9","16","0.23","17.6","2.57","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"6","Quentin Johnston","LAC","WR","10","2025","355","60","0.17","85.3","1.41","306","86.2","40.4","52","0.17","73.6","1.25","49","13.8","8.3","8","0.16","11.8","2.41","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"7","George Pickens","DAL","WR","10","2025","354","80","0.23","87.6","2.56","318","89.8","42.3","74","0.23","78.7","2.70","36","10.2","6.5","6","0.17","8.9","1.36","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"8","Jerry Jeudy","CLV","WR","10","2025","350","71","0.20","86.2","1.02","287","82.0","39.5","52","0.18","70.7","0.92","62","17.7","12.0","19","0.31","15.3","1.47","1","0.3","0.4","0","0.00","0.2","0.00","0","0.0","","0","0.00","","0.00"
"9","Justin Jefferson","MIN","WR","10","2025","348","93","0.27","94.1","2.15","260","74.7","39.2","68","0.26","70.3","2.14","83","23.9","17.0","22","0.27","22.4","2.08","0","0.0","","0","0.00","","0.00","5","1.4","2.2","3","0.60","1.4","3.40"
"10","Tee Higgins","CIN","WR","10","2025","347","62","0.18","86.1","1.57","308","88.8","41.7","54","0.18","76.4","1.59","39","11.2","7.2","8","0.21","9.7","1.38","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
