"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"1","Trey McBride","ARZ","TE","10","2025","373","0.043","1.89","0.25","8.6","8.0","0.5","0.0","4.8","95","71","718","7","698","6.0","35","0.200","1.83","0.23","28.6","229","0.022","1.93","0.23","6.6","107","0.037","1.78","0.30","6.5","2","0.000","4.00","0.50","0.0"
"2","Ladd McConkey","LAC","WR","11","2025","373","0.094","1.69","0.22","15.0","12.3","2.4","0.3","8.8","83","54","644","4","761","7.5","134","0.104","2.24","0.21","14.2","235","0.081","1.37","0.22","14.9","4","0.500","2.25","0.25","50.0","","","","","0.0"
"3","Ja'Marr Chase","CIN","WR","10","2025","372","0.110","2.27","0.30","14.5","12.1","1.9","0.5","6.5","115","79","861","5","1004","6.9","231","0.117","2.62","0.33","16.9","137","0.102","1.74","0.26","10.9","1","0.000","","","0.0","3","0.000","","","0.0"
"4","Wan'Dale Robinson","NYG","WR","11","2025","357","0.028","1.73","0.23","7.3","5.6","1.7","0.0","6.2","85","57","638","2","680","6.4","107","0.112","1.81","0.22","14.0","247","-0.008","1.70","0.23","4.5","","","","","0.0","3","0.000","2.33","0.67","0.0"
"5","George Pickens","DAL","WR","10","2025","352","0.111","2.56","0.23","17.0","14.5","2.6","0.0","8.5","80","58","908","7","1033","8.9","316","0.104","2.70","0.23","17.1","36","0.167","1.36","0.17","16.7","","","","","0.0","","","","","0.0"
"6","Tetairoa McMillan","CAR","WR","11","2025","351","0.063","2.10","0.24","13.7","11.4","2.0","0.3","10.0","85","54","748","4","981","9.5","285","0.067","1.98","0.24","14.0","66","0.045","2.57","0.23","12.1","","","","","0.0","","","","","0.0"
"7","Quentin Johnston","LAC","WR","10","2025","349","0.003","1.41","0.17","13.8","12.6","1.1","0.0","14.9","60","37","502","6","713","9.1","300","-0.010","1.25","0.17","13.7","49","0.082","2.41","0.16","14.3","","","","","0.0","","","","","0.0"
"8","Tee Higgins","CIN","WR","10","2025","344","0.038","1.57","0.18","10.8","8.7","2.0","0.0","9.0","62","35","544","7","842","7.7","305","0.030","1.59","0.18","10.8","39","0.103","1.38","0.21","10.3","","","","","0.0","","","","","0.0"
"9","Jerry Jeudy","CLV","WR","10","2025","343","0.067","1.02","0.20","15.5","13.7","1.7","0.0","10.5","71","31","356","1","831","8.6","281","0.018","0.92","0.18","13.2","61","0.295","1.47","0.31","26.2","1","0.000","","","0.0","","","","","0.0"
"10","Michael Wilson","ARZ","WR","10","2025","342","0.082","1.21","0.16","11.1","9.9","1.2","0.0","4.1","55","37","416","1","626","7.9","216","0.088","1.26","0.19","12.0","126","0.071","1.13","0.11","9.5","","","","","0.0","","","","","0.0"
"11","Justin Jefferson","MIN","WR","10","2025","340","0.094","2.15","0.27","15.3","13.2","1.8","0.3","7.9","93","56","747","2","1073","9.8","254","0.071","2.14","0.26","14.2","81","0.160","2.08","0.27","18.5","","","","","0.0","5","0.200","3.40","0.60","20.0"
"12","Courtland Sutton","DEN","WR","11","2025","332","0.093","1.91","0.21","16.9","15.1","1.8","0.0","9.3","71","45","649","4","879","9.2","270","0.085","1.88","0.21","17.0","62","0.129","2.08","0.21","16.1","","","","","0.0","","","","","0.0"
"13","Chris Olave","NO","WR","10","2025","331","0.045","1.97","0.27","9.4","7.3","2.1","0.0","6.3","91","60","664","4","1017","7.4","185","0.038","2.10","0.28","11.9","145","0.055","1.82","0.27","6.2","","","","","0.0","1","0.000","","","0.0"
"14","Tre Tucker","LV","WR","10","2025","325","0.043","1.54","0.17","10.5","8.6","1.5","0.3","8.6","54","38","502","5","487","8.0","271","0.048","1.69","0.18","11.4","53","0.019","0.56","0.09","5.7","1","0.000","13.00","1.00","0.0","","","","","0.0"
"15","Rashid Shaheed","NO, SEA","WR","11","2025","319","0.066","1.62","0.22","9.4","7.2","1.9","0.3","5.3","71","47","529","2","806","8.2","202","0.079","1.62","0.23","11.9","117","0.043","1.63","0.20","5.1","","","","","0.0","","","","","0.0"
"16","Christian McCaffrey","SF","RB","11","2025","316","0.032","2.28","0.28","3.8","3.5","0.3","0.0","0.9","90","74","732","5","207","0.5","15","0.000","2.33","0.33","0.0","59","0.068","2.30","0.28","10.2","5","0.000","4.83","0.17","0.0","237","0.025","2.21","0.28","2.5"
"17","Emeka Egbuka","TB","WR","10","2025","314","0.041","2.24","0.26","13.4","12.1","0.6","0.6","11.1","84","45","717","6","1015","9.0","203","0.059","2.71","0.29","15.3","111","0.009","1.38","0.21","9.9","","","","","0.0","","","","","0.0"
"18","Kyle Pitts","ATL","TE","10","2025","304","0.020","1.40","0.20","6.6","6.3","0.0","0.3","5.3","62","47","434","1","427","5.4","68","-0.074","1.26","0.17","5.9","96","0.031","0.94","0.21","6.3","140","0.057","1.78","0.21","7.1","","","","","0.0"
"19","Troy Franklin","DEN","WR","11","2025","304","0.076","1.62","0.25","12.5","11.5","0.7","0.3","5.6","79","46","509","5","1202","7.3","162","0.154","1.87","0.28","17.3","142","-0.014","1.32","0.22","7.0","","","","","0.0","","","","","0.0"
"20","Michael Pittman","IND","WR","10","2025","301","0.076","1.90","0.22","10.6","10.3","0.3","0.0","3.3","68","54","580","6","617","8.0","216","0.083","2.09","0.24","11.6","81","0.062","1.22","0.14","8.6","4","0.000","5.25","0.75","0.0","","","","","0.0"
"21","Marvin Harrison","ARZ","WR","9","2025","300","0.070","1.73","0.20","13.7","12.7","0.7","0.3","8.0","62","34","525","4","828","9.3","230","0.083","1.97","0.23","16.1","70","0.029","0.94","0.13","5.7","","","","","0.0","","","","","0.0"
"22","Keenan Allen","LAC","WR","11","2025","299","0.067","1.92","0.27","15.1","14.7","0.3","0.0","8.7","82","56","592","4","744","7.4","175","0.074","1.69","0.26","18.3","124","0.056","2.24","0.27","10.5","","","","","0.0","","","","","0.0"
"23","DeVonta Smith","PHI","WR","10","2025","298","0.081","2.18","0.22","14.8","12.1","2.7","0.0","9.4","68","49","665","3","843","7.6","124","0.121","3.19","0.25","17.7","174","0.052","1.46","0.20","12.6","","","","","0.0","","","","","0.0"
"24","Theo Johnson","NYG","TE","11","2025","297","-0.007","1.14","0.18","6.7","6.1","0.7","0.0","8.1","54","36","350","5","364","5.6","42","0.000","1.26","0.20","11.9","159","-0.019","1.40","0.15","6.3","80","0.013","0.76","0.22","6.3","16","0.000","0.06","0.12","0.0"
"25","Rome Odunze","CHI","WR","10","2025","297","0.081","1.94","0.24","14.5","12.8","1.3","0.3","8.4","73","39","600","6","1088","10.9","183","0.087","2.42","0.28","15.8","113","0.053","1.13","0.17","11.5","","","","","0.0","1","2.000","","","100.0"
