"Player Details","","","","","","Overall","","","","","Horizontally Breaking","","","","","","Vertically Breaking","","","","","","Static","","","","","","Shallow/Underneath","","","","","","Backfield","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","TPRR","YPRR","WIN RATE","RTE","RTE %","SEP SCORE","TPRR","YPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE"
"1","Trey McBride","ARZ","TE","10","2025","373","0.043","1.89","0.25","8.6","103","27.6","0.058","1.31","0.20","10.7","106","28.4","0.047","0.19","1.99","10.4","78","20.9","0.013","0.24","1.76","7.7","83","22.3","0.048","2.55","0.38","4.8","3","0.8","0.000","2.67","0.33","0.0"
"2","Ladd McConkey","LAC","WR","11","2025","373","0.094","1.69","0.22","15.0","189","50.7","0.159","1.87","0.21","21.2","68","18.2","0.029","0.14","0.63","10.3","84","22.5","0.024","0.21","1.76","8.3","32","8.6","0.031","2.79","0.42","6.3","","0.0","","","","0.0"
"3","Ja'Marr Chase","CIN","WR","10","2025","372","0.110","2.27","0.30","14.5","137","36.8","0.190","2.59","0.35","23.4","111","29.8","0.144","0.19","1.77","16.2","76","20.4","-0.039","0.24","1.92","2.6","44","11.8","0.045","3.31","0.58","4.5","4","1.1","0.000","","","0.0"
"4","Wan'Dale Robinson","NYG","WR","11","2025","357","0.028","1.73","0.23","7.3","127","35.6","0.047","1.66","0.23","12.6","101","28.3","0.020","0.12","1.67","5.9","81","22.7","0.012","0.27","1.96","2.5","45","12.6","0.022","1.62","0.40","4.4","3","0.8","0.000","2.33","0.67","0.0"
"5","George Pickens","DAL","WR","10","2025","352","0.111","2.56","0.23","17.0","128","36.4","0.250","3.93","0.32","28.9","149","42.3","0.013","0.13","1.52","10.7","68","19.3","0.074","0.29","2.59","10.3","7","2.0","0.000","","","0.0","","0.0","","","","0.0"
"6","Tetairoa McMillan","CAR","WR","11","2025","351","0.063","2.10","0.24","13.7","151","43.0","0.093","2.76","0.23","15.2","130","37.0","0.000","0.18","1.22","9.2","64","18.2","0.125","0.34","2.22","20.3","6","1.7","0.000","3.17","0.50","0.0","","0.0","","","","0.0"
"7","Quentin Johnston","LAC","WR","10","2025","349","0.003","1.41","0.17","13.8","102","29.2","0.088","1.76","0.22","20.6","153","43.8","-0.065","0.10","1.10","12.4","65","18.6","0.015","0.17","0.59","10.8","29","8.3","0.034","3.76","0.38","3.4","","0.0","","","","0.0"
"8","Tee Higgins","CIN","WR","10","2025","344","0.038","1.57","0.18","10.8","114","33.1","0.053","1.15","0.18","16.7","154","44.8","0.000","0.17","1.88","6.5","64","18.6","0.094","0.20","1.42","10.9","12","3.5","0.083","2.33","0.08","8.3","","0.0","","","","0.0"
"9","Jerry Jeudy","CLV","WR","10","2025","343","0.067","1.02","0.20","15.5","143","41.7","0.147","0.92","0.19","21.7","113","32.9","0.027","0.20","1.07","10.6","71","20.7","-0.042","0.20","1.03","11.3","16","4.7","0.125","1.44","0.38","12.5","","0.0","","","","0.0"
"10","Michael Wilson","ARZ","WR","10","2025","342","0.082","1.21","0.16","11.1","130","38.0","0.131","1.35","0.17","16.9","106","31.0","0.047","0.11","1.19","7.5","83","24.3","0.048","0.18","1.07","7.2","23","6.7","0.087","1.04","0.25","8.7","","0.0","","","","0.0"
