"Player Details","","","","","","Overall","","","","","","Slant","","","","","","","Out","","","","","","","In/Dig","","","","","","","Hitch","","","","","","","Comeback","","","","","","","Corner","","","","","","","Post","","","","","","","Go","","","","","","Crossers","","","","","","","Screens","","","","","","","Flat","","","","","","","Backfield","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","TGT","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","ADOR","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE"
"1","Ladd McConkey","LAC","WR","11","2025","373","0.094","1.69","0.22","15.0","83","48","12.9","0.292","2.06","0.25","3.0","31.3","48","12.9","0.083","1.12","0.18","8.9","20.8","42","11.3","0.167","2.67","0.24","10.9","16.7","81","21.7","0.025","1.83","0.22","8.6","7.4","3","0.8","0.000","","","33.3","19.7","27","7.2","-0.185","","0.11","9.0","7.4","11","2.9","0.364","","0.09","11.4","18.2","30","8.0","0.100","1.36","0.18","10.0","65","17.4","0.092","2.34","0.25","10.2","15.4","8","2.1","0.000","2.88","0.63","-3.8","0.0","10","2.7","0.000","0.30","0.20","","0.0","","0.0","","","","","0.0"
"2","Trey McBride","ARZ","TE","10","2025","373","0.043","1.89","0.25","8.6","95","12","3.2","0.000","1.58","0.17","3.2","0.0","38","10.2","0.105","2.05","0.34","7.8","18.4","22","5.9","-0.091","0.18","0.09","9.2","0.0","78","20.9","0.013","1.76","0.24","7.6","7.7","","0.0","","","","0.0","","56","15.0","0.036","2.74","0.22","9.0","10.7","16","4.3","0.000","1.81","0.25","9.9","12.5","34","9.1","0.088","0.86","0.11","8.8","61","16.4","0.098","1.91","0.23","7.5","9.8","12","3.2","0.000","4.42","1.00","-2.3","0.0","41","11.0","0.049","1.90","0.24","","4.9","3","0.8","0.000","2.67","0.33","0.3","0.0"
"3","Ja'Marr Chase","CIN","WR","10","2025","372","0.110","2.27","0.30","14.5","115","37","9.9","0.162","3.57","0.41","3.3","21.6","49","13.2","0.347","2.49","0.43","11.7","34.7","36","9.7","0.111","2.27","0.27","11.4","19.4","75","20.2","-0.027","1.95","0.24","7.3","2.7","1","0.3","-1.000","","","0.0","8.0","34","9.1","0.176","1.50","0.15","13.1","17.6","20","5.4","0.100","","","10.0","10.0","57","15.3","0.140","2.51","0.28","17.5","32","8.6","0.000","1.83","0.29","5.9","3.1","18","4.8","0.000","5.00","0.83","-2.8","0.0","9","2.4","0.111","2.11","0.44","","11.1","4","1.1","0.000","","","-0.8","0.0"
"4","Wan'Dale Robinson","NYG","WR","11","2025","357","0.028","1.73","0.23","7.3","85","29","8.1","0.138","1.33","0.17","2.9","20.7","45","12.6","0.000","2.43","0.34","7.0","8.9","18","5.0","-0.111","0.28","0.17","11.5","5.6","81","22.7","0.012","1.99","0.27","6.7","2.5","","0.0","","","","0.0","","27","7.6","0.000","0.89","0.19","11.2","7.4","23","6.4","0.043","","0.04","12.9","8.7","51","14.3","0.020","2.78","0.13","3.9","54","15.1","0.093","1.07","0.15","9.8","13.0","21","5.9","0.000","3.48","0.67","-3.8","0.0","5","1.4","0.000","","0.40","","0.0","3","0.8","0.000","2.33","0.67","-1.3","0.0"
"5","George Pickens","DAL","WR","10","2025","352","0.111","2.56","0.23","17.0","80","35","9.9","0.314","5.63","0.51","2.8","34.3","31","8.8","0.452","3.94","0.39","12.8","41.9","38","10.8","0.132","4.13","0.18","16.2","21.1","59","16.8","0.051","2.49","0.29","10.9","10.2","9","2.6","0.222","3.22","0.33","11.1","15.4","34","9.7","0.147","0.69","0.03","15.0","17.6","28","8.0","-0.071","0.43","0.04","11.8","7.1","87","24.7","-0.011","2.19","0.19","9.2","29","8.2","0.069","0.93","0.14","11.0","13.8","","0.0","","","","","0.0","2","0.6","0.000","","","","0.0","","0.0","","","","","0.0"
"6","Tetairoa McMillan","CAR","WR","11","2025","351","0.063","2.10","0.24","13.7","85","27","7.7","-0.074","3.04","0.37","3.7","7.4","43","12.3","0.140","2.55","0.32","11.4","20.9","50","14.2","0.180","4.20","0.22","14.1","20.0","61","17.4","0.115","2.03","0.33","10.2","19.7","3","0.9","0.333","6.00","0.67","33.3","15.3","38","10.8","-0.079","1.47","0.08","13.2","5.3","25","7.1","-0.080","1.48","0.12","11.7","0.0","67","19.1","0.075","0.99","0.26","14.9","34","9.7","0.029","0.80","0.06","11.4","5.9","2","0.6","0.000","","0.50","-1.5","0.0","1","0.3","0.000","8.00","1.00","","0.0","","0.0","","","","","0.0"
"7","Quentin Johnston","LAC","WR","10","2025","349","0.003","1.41","0.17","13.8","60","23","6.6","0.130","1.09","0.35","2.3","26.1","18","5.2","0.000","0.44","0.17","9.5","16.7","27","7.7","0.074","1.96","0.19","14.9","18.5","49","14.0","0.000","0.78","0.16","9.9","8.2","16","4.6","0.063","","0.19","18.8","15.0","48","13.8","-0.042","1.83","0.06","15.5","10.4","29","8.3","0.034","0.80","0.20","16.5","27.6","76","21.8","-0.118","0.76","0.08","7.9","54","15.5","0.093","2.80","0.20","9.0","14.8","7","2.0","0.000","7.00","1.00","-1.9","0.0","2","0.6","0.000","","","","0.0","","0.0","","","","","0.0"
"8","Tee Higgins","CIN","WR","10","2025","344","0.038","1.57","0.18","10.8","62","28","8.1","0.036","2.00","0.25","3.8","14.3","32","9.3","0.063","1.16","0.28","11.1","21.9","47","13.7","0.085","0.53","0.06","12.5","14.9","64","18.6","0.094","1.42","0.20","9.4","10.9","","0.0","","","","0.0","","32","9.3","-0.031","1.66","0.13","12.5","3.1","37","10.8","0.027","1.65","0.14","10.8","8.1","85","24.7","0.000","2.06","0.21","7.1","17","4.9","0.000","2.41","0.18","5.9","11.8","","0.0","","","","","0.0","2","0.6","0.000","","","","0.0","","0.0","","","","","0.0"
"9","Jerry Jeudy","CLV","WR","10","2025","343","0.067","1.02","0.20","15.5","71","27","7.9","0.333","1.41","0.19","3.5","29.6","54","15.7","0.074","0.89","0.20","9.3","20.4","31","9.0","0.161","1.13","0.16","13.5","22.6","70","20.4","-0.057","1.04","0.19","11.0","10.0","1","0.3","1.000","","1.00","100.0","16.0","26","7.6","0.192","2.29","0.32","12.2","19.2","26","7.6","-0.038","1.29","0.14","11.6","0.0","61","17.8","-0.016","0.42","0.18","11.5","42","12.2","0.095","0.57","0.20","9.6","14.3","3","0.9","0.000","1.33","0.67","-2.7","0.0","2","0.6","0.500","3.50","0.50","","50.0","","0.0","","","","","0.0"
"10","Michael Wilson","ARZ","WR","10","2025","342","0.082","1.21","0.16","11.1","55","18","5.3","0.222","1.44","0.17","3.4","27.8","37","10.8","0.108","1.22","0.27","8.9","18.9","51","14.9","0.157","1.55","0.12","11.4","15.7","70","20.5","0.014","0.84","0.16","7.3","4.3","13","3.8","0.231","2.31","0.31","23.1","12.8","29","8.5","0.103","1.79","0.07","13.0","6.9","13","3.8","0.154","","","11.5","15.4","64","18.7","0.000","1.15","0.15","6.3","36","10.5","0.083","1.11","0.17","12.8","11.1","1","0.3","0.000","1.00","1.00","-12.0","0.0","10","2.9","0.000","0.80","0.10","","0.0","","0.0","","","","","0.0"
