"Player Details","","","","","","Target Share","","","","","","","","","","","","","","","","","",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","TM TGT %"
"1","Jaxon Smith-Njigba","SEA","WR","10","2025","56.5","30.3","28.6","19.2","26.5","44.4","40.6","","37.5","41.7","27.3","","","","","","","","34.1"
"2","Ja'Marr Chase","CIN","WR","10","2025","21.7","35.6","22.2","28.0","22.5","26.7","48.9","55.9","19.1","","22.5","","","","","","","","30.8"
"3","Garrett Wilson","NYJ","WR","7","2025","36.4","31.8","33.3","29.6","21.7","47.1","","","","18.2","","","","","","","","","30.4"
"4","Drake London","ATL","WR","9","2025","35.7","19.0","18.6","38.5","","46.9","18.4","","37.8","28.6","30.0","","","","","","","","30.3"
"5","Justin Jefferson","MIN","WR","10","2025","35.0","28.6","29.2","23.9","31.4","","23.8","35.5","36.0","28.6","28.1","","","","","","","","29.2"
"6","Amon-Ra St. Brown","DET","WR","10","2025","12.8","39.3","28.6","25.9","37.5","34.5","34.5","","32.4","22.9","29.7","","","","","","","","29.1"
"7","Puka Nacua","LA","WR","9","2025","37.9","27.3","44.1","36.6","25.5","11.5","","","21.9","16.7","28.6","","","","","","","","28.1"
"8","Zay Flowers","BLT","WR","10","2025","47.4","34.5","10.7","24.2","25.0","29.4","","40.9","21.7","20.7","20.0","","","","","","","","26.7"
"9","Chris Olave","NO","WR","10","2025","26.1","29.4","31.7","21.4","31.3","38.5","21.9","23.5","12.0","28.6","","","","","","","","","26.5"
"10","A.J. Brown","PHI","WR","9","2025","4.3","36.4","31.3","33.3","21.1","27.3","26.1","","","11.5","39.3","","","","","","","","25.7"
"11","Trey McBride","ARZ","TE","10","2025","27.6","28.0","20.0","26.8","21.9","25.0","33.3","","25.8","28.9","19.3","","","","","","","","25.3"
"12","DeVonta Smith","PHI","WR","10","2025","13.0","27.3","28.1","8.3","28.9","15.2","47.8","45.0","","26.9","17.9","","","","","","","","25.3"
"13","Nico Collins","HST","WR","9","2025","18.5","37.5","28.9","21.4","16.1","","20.4","","27.5","31.1","24.4","","","","","","","","25.1"
"14","Davante Adams","LA","WR","10","2025","27.6","36.4","23.5","14.6","23.4","34.6","24.2","","21.9","22.2","25.0","","","","","","","","24.8"
"15","Emeka Egbuka","TB","WR","10","2025","18.8","18.4","27.6","25.0","21.2","17.4","22.0","37.5","","30.2","32.1","","","","","","","","24.7"
"16","Deebo Samuel","WAS","WR","10","2025","33.3","19.0","14.3","22.2","42.3","19.2","","20.0","27.3","22.7","26.7","","","","","","","","24.6"
"17","Malik Nabers","NYG","WR","4","2025","29.7","31.7","15.6","14.3","","","","","","","","","","","","","","","24.4"
"18","Tetairoa McMillan","CAR","WR","11","2025","22.9","16.4","33.3","22.2","26.7","20.0","15.6","41.7","30.0","32.0","22.2","","","","","","","","24.2"
"19","Wan'Dale Robinson","NYG","WR","11","2025","21.6","24.4","12.5","23.8","17.5","26.9","30.3","16.7","33.3","27.8","31.0","","","","","","","","24.1"
"20","Tyreek Hill","MIA","WR","4","2025","19.4","21.9","29.4","24.0","","","","","","","","","","","","","","","23.8"
"21","Rashee Rice","KC","WR","4","2025","","","","","","","25.7","26.5","23.5","","20.0","","","","","","","","23.6"
"22","Brock Bowers","LV","TE","7","2025","23.5","16.3","17.2","28.6","","","","","33.3","7.4","28.6","","","","","","","","22.6"
"23","Rome Odunze","CHI","WR","10","2025","22.9","33.3","25.0","18.9","","17.2","23.1","26.3","8.1","27.8","18.8","","","","","","","","22.1"
"24","Stefon Diggs","NE","WR","11","2025","15.2","21.7","8.1","38.9","40.0","11.5","29.2","20.8","13.8","22.6","32.4","","","","","","","","22.0"
"25","CeeDee Lamb","DAL","WR","7","2025","38.2","21.2","0.0","","","","23.3","28.6","30.8","","18.2","","","","","","","","22.0"
"26","George Pickens","DAL","WR","10","2025","11.8","15.4","20.0","27.5","13.8","32.4","20.0","25.7","17.9","","33.3","","","","","","","","21.6"
"27","Jaylen Waddle","MIA","WR","11","2025","16.1","18.8","17.6","20.0","25.0","24.2","12.9","22.2","20.0","33.3","35.0","","","","","","","","21.5"
"28","Ladd McConkey","LAC","WR","11","2025","26.5","18.5","14.9","14.6","21.2","23.7","25.5","40.0","20.7","18.2","15.4","","","","","","","","21.4"
"29","Keenan Allen","LAC","WR","11","2025","26.5","25.9","23.4","17.1","24.2","18.4","25.5","20.0","13.8","15.2","19.2","","","","","","","","21.1"
"30","Michael Pittman","IND","WR","10","2025","27.6","14.7","24.0","30.3","15.6","10.0","26.5","29.0","22.0","7.7","","","","","","","","","21.0"
"31","Mike Evans","TB","WR","4","2025","25.0","28.9","27.6","","","","8.0","","","","","","","","","","","","20.8"
"32","Jakobi Meyers","LV, JAX","WR","9","2025","29.4","23.3","13.8","33.3","16.7","17.4","","","15.4","13.0","27.3","","","","","","","","20.7"
"33","Isaiah Hodgins","NYG","WR","1","2025","","","","","","","","","","","20.7","","","","","","","","20.7"
"34","DK Metcalf","PIT","WR","10","2025","23.3","17.1","17.4","22.7","","30.0","17.6","19.4","11.4","22.6","25.8","","","","","","","","20.5"
"35","Romeo Doubs","GB","WR","10","2025","18.2","16.1","8.0","18.6","","34.6","27.6","16.2","27.0","11.1","30.8","","","","","","","","20.5"
"36","Troy Franklin","DEN","WR","11","2025","15.0","30.0","16.0","19.0","10.3","13.3","20.0","27.6","24.3","32.1","21.1","","","","","","","","20.4"
"37","Brian Thomas","JAX","WR","8","2025","22.6","26.2","15.0","22.6","24.0","23.8","14.6","","14.7","","","","","","","","","","20.1"
"38","Dallas Goedert","PHI","TE","9","2025","30.4","","6.3","16.7","21.1","33.3","13.0","15.0","","23.1","17.9","","","","","","","","19.8"
"39","Tyler Warren","IND","TE","10","2025","31.0","20.6","16.0","18.2","12.5","30.0","14.7","16.1","10.0","38.5","","","","","","","","","19.8"
"40","Khalil Shakir","BUF","WR","10","2025","17.4","3.7","14.3","22.7","29.0","19.2","","30.4","30.8","22.5","10.0","","","","","","","","19.7"
"41","Jerry Jeudy","CLV","WR","10","2025","17.8","16.7","13.9","25.7","9.1","25.0","22.2","5.7","","37.5","26.9","","","","","","","","19.7"
"42","Alec Pierce","IND","WR","8","2025","10.3","14.7","20.0","","","13.3","29.4","16.1","24.0","26.9","","","","","","","","","19.7"
"43","Marvin Harrison","ARZ","WR","9","2025","20.7","16.0","17.1","24.4","15.6","4.5","19.4","","32.3","26.7","","","","","","","","","19.5"
"44","Jordan Addison","MIN","WR","7","2025","","","","15.2","17.1","","28.6","12.9","16.0","21.4","21.9","","","","","","","","19.4"
"45","Rashid Shaheed","NO, SEA","WR","11","2025","19.6","14.7","14.6","17.9","15.6","23.1","28.1","23.5","36.0","8.3","9.1","","","","","","","","19.1"
"46","Jake Ferguson","DAL","TE","10","2025","17.6","23.1","31.1","17.5","31.0","8.8","23.3","2.9","17.9","","15.2","","","","","","","","19.1"
"47","Kyle Pitts","ATL","TE","10","2025","19.0","23.8","14.0","19.2","","12.5","26.3","29.0","18.9","17.9","10.0","","","","","","","","18.9"
"48","Dalton Schultz","HST","TE","10","2025","14.8","16.7","15.8","21.4","19.4","","20.4","7.7","20.0","24.4","22.0","","","","","","","","18.5"
