"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"1","Jonathan Taylor","IND","RB","10","2025","189","1139","113.9","6.03","15","0","58","7.9","497","43.6","61.5","7.9","58.2","39.2","37","0.20","539","2.85","47.3","3.17","81","42.9","359","1","4.43","42.0","106","56.1","770","13","7.26","69.8","27.4","273.9","190.5","19.0"
"2","James Cook","BUF","RB","10","2025","182","968","96.8","5.32","7","2","44","4.9","243","25.1","29.2","3.8","57.7","39.0","32","0.18","503","2.76","52.0","2.55","89","48.9","512","2","5.75","62.9","92","50.5","450","5","4.89","52.2","18.4","183.8","147.0","14.7"
"3","De'Von Achane","MIA","RB","11","2025","164","900","81.8","5.49","5","1","40","9.8","413","45.9","50.0","3.0","46.3","48.2","30","0.18","418","2.55","46.4","2.94","91","55.5","403","2","4.43","41.8","62","37.8","447","3","7.21","51.6","21.4","235.0","206.1","18.7"
"4","Rico Dowdle","CAR","RB","11","2025","168","833","75.7","4.96","5","0","41","4.8","224","26.9","63.6","3.0","49.4","45.2","27","0.16","453","2.70","54.4","2.26","78","46.4","377","1","4.83","42.3","87","51.8","441","4","5.07","55.2","14.7","162.0","147.3","13.4"
"5","Javonte Williams","DAL","RB","10","2025","161","809","80.9","5.02","8","1","45","5.6","237","29.3","66.7","5.0","56.5","38.5","20","0.12","543","3.37","67.1","1.65","75","46.6","322","3","4.29","58.7","82","50.9","473","5","5.77","54.9","16.8","168.2","165.3","16.5"
"6","Derrick Henry","BLT","RB","10","2025","166","807","80.7","4.86","7","3","39","4.8","283","35.1","75.0","4.2","51.8","50.0","15","0.09","416","2.51","51.5","2.36","102","61.4","483","2","4.74","51.0","63","38.0","324","5","5.14","54.0","13.9","139.1","133.0","13.3"
"7","Bijan Robinson","ATL","RB","10","2025","158","783","78.3","4.96","4","2","34","6.3","245","31.3","38.5","2.5","54.4","41.1","40","0.25","446","2.82","57.0","2.13","121","76.6","645","4","5.33","53.7","33","20.9","114","0","3.45","54.5","21.1","210.9","180.0","18.0"
"8","J.K. Dobbins","DEN","RB","10","2025","153","772","77.2","5.05","4","0","37","7.8","261","33.8","63.6","2.6","53.6","46.1","31","0.20","347","2.27","44.9","2.78","60","39.2","357","1","5.95","53.3","91","59.5","394","2","4.33","52.7","11.6","115.9","109.7","11.0"
"9","Kyren Williams","LA","RB","10","2025","158","750","75.0","4.75","6","2","47","3.2","114","15.2","55.0","3.8","62.0","32.3","19","0.12","389","2.46","51.9","2.28","77","48.7","391","4","5.08","64.9","81","51.3","359","2","4.43","59.3","16.8","168.2","154.1","15.4"
"10","Jahmyr Gibbs","DET","RB","10","2025","140","732","73.2","5.23","8","0","36","6.4","293","40.0","41.2","5.7","49.3","45.0","38","0.27","287","2.05","39.2","3.18","80","57.1","275","2","3.44","45.0","56","40.0","424","5","7.57","53.6","20.4","203.6","149.1","14.9"
"11","Travis Etienne","JAX","RB","10","2025","154","729","72.9","4.73","5","0","33","3.9","204","28.0","45.0","3.2","52.6","43.5","23","0.15","349","2.27","47.9","2.47","72","46.8","386","1","5.36","51.4","76","49.4","327","4","4.30","52.6","14.3","142.9","148.9","14.9"
"12","Breece Hall","NYJ","RB","10","2025","152","722","72.2","4.75","2","1","40","9.9","314","43.5","50.0","1.3","49.3","42.8","27","0.18","291","1.91","40.3","2.84","111","73.0","542","1","4.88","49.5","38","25.0","173","1","4.55","47.4","14.0","140.0","119.9","12.0"
"13","Christian McCaffrey","SF","RB","11","2025","193","707","64.3","3.66","6","0","45","2.6","81","11.5","75.0","3.1","48.7","46.1","26","0.13","386","2.00","54.6","1.66","125","64.8","418","3","3.34","45.6","65","33.7","297","3","4.57","56.9","25.8","283.9","272.5","24.8"
"14","Saquon Barkley","PHI","RB","10","2025","175","662","66.2","3.78","4","0","26","4.0","177","26.7","41.2","2.3","44.0","50.3","23","0.13","333","1.90","50.3","1.88","97","55.4","317","2","3.27","43.3","70","40.0","312","1","4.46","42.9","15.1","150.9","151.2","15.1"
"15","Josh Jacobs","GB","RB","10","2025","169","648","64.8","3.83","11","2","41","4.1","116","17.9","93.8","6.5","52.1","44.4","27","0.16","363","2.15","56.0","1.69","91","53.8","309","5","3.40","47.3","74","43.8","326","6","4.41","58.1","18.2","181.5","166.4","16.6"
"16","D'Andre Swift","CHI","RB","9","2025","134","634","70.4","4.73","4","1","37","5.2","134","21.1","61.5","3.0","51.5","41.0","22","0.16","269","2.01","42.4","2.72","86","64.2","391","3","4.55","52.3","47","35.1","240","1","5.11","51.1","15.2","136.4","131.7","14.6"
"17","Quinshon Judkins","CLV","RB","9","2025","157","620","68.9","3.95","5","0","37","3.8","180","29.0","72.7","3.2","41.4","56.1","24","0.15","370","2.36","59.7","1.59","63","40.1","249","0","3.95","39.7","88","56.1","360","4","4.09","39.8","12.6","113.0","128.1","14.2"
"18","Kenneth Walker","SEA","RB","10","2025","136","606","60.6","4.46","4","0","28","7.4","213","35.1","35.0","2.9","44.1","48.5","34","0.25","278","2.04","45.9","2.41","74","54.4","325","1","4.39","39.2","60","44.1","266","3","4.43","51.7","11.1","111.3","110.2","11.0"
"19","Ashton Jeanty","LV","RB","10","2025","149","554","55.4","3.72","4","1","29","2.0","98","17.7","100.0","2.7","45.0","53.7","29","0.19","331","2.22","59.7","1.50","87","58.4","392","2","4.51","47.1","58","38.9","155","2","2.67","41.4","14.2","141.7","150.8","15.1"
"20","Jaylen Warren","PIT","RB","9","2025","123","536","59.6","4.36","2","0","30","3.3","113","21.1","72.7","1.6","54.5","42.3","34","0.28","340","2.76","63.4","1.59","88","71.5","391","1","4.44","54.5","32","26.0","145","1","4.53","59.4","13.2","118.5","118.7","13.2"
"21","Chase Brown","CIN","RB","10","2025","126","519","51.9","4.12","2","1","28","4.0","136","26.2","81.8","1.6","48.4","46.8","24","0.19","327","2.60","63.0","1.52","62","49.2","261","1","4.21","48.4","63","50.0","257","1","4.08","49.2","13.4","133.8","162.9","16.3"
"22","Tony Pollard","TEN","RB","10","2025","129","502","50.2","3.89","2","2","26","2.3","54","10.8","40.0","1.6","43.4","48.8","15","0.12","307","2.38","61.2","1.51","63","48.8","237","0","3.76","42.9","66","51.2","265","2","4.02","43.9","9.7","96.9","116.6","11.7"
"23","Jacory Croskey-Merritt","WAS","RB","11","2025","114","498","45.3","4.37","4","2","25","4.4","115","23.1","26.7","3.5","56.1","41.2","13","0.11","286","2.51","57.4","1.86","44","38.6","192","1","4.36","61.4","70","61.4","306","3","4.37","52.9","8.0","87.6","83.5","7.6"
"24","David Montgomery","DET","RB","10","2025","110","493","49.3","4.48","5","1","23","3.6","140","28.4","58.8","4.5","44.5","50.0","14","0.13","269","2.45","54.6","2.04","70","63.6","247","1","3.53","41.4","40","36.4","246","4","6.15","50.0","11.1","111.0","101.1","10.1"
"25","TreVeyon Henderson","NE","RB","11","2025","100","492","44.7","4.92","5","1","25","5.0","185","37.6","18.8","5.0","47.0","48.0","11","0.11","174","1.74","35.4","3.18","30","30.0","170","1","5.67","56.7","65","65.0","270","3","4.15","40.0","11.5","126.7","105.8","9.6"
"26","Jordan Mason","MIN","RB","10","2025","108","489","48.9","4.53","5","2","29","4.6","96","19.6","75.0","4.6","53.7","41.7","20","0.19","242","2.24","49.5","2.29","60","55.6","235","3","3.92","43.3","47","43.5","245","2","5.21","66.0","9.4","94.3","87.5","8.8"
