"Player Details","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","SCRM","YDS","TD","1+ %","3+ %","5+ %","10+ %","15+ %","20+ %","30+ %","i5","i5 %","i10","i10 %","i20","i20 %","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","WO","WO/G","FP/G","FP"
"1","Jonathan Taylor","IND","RB","10","2025","189","1139","113.9","6.03","15","0","0","0","0","87.8","59.3","40.2","14.8","7.9","4.2","2.6","16","61.5","28","65.1","47","67.1","32","9.9","30","260","9.7","8.67","8.13","26.0","93.8","2","13.3","1","4","1","183.6","18.4","27.4","273.9"
"2","James Cook","BUF","RB","10","2025","182","968","96.8","5.32","7","2","0","0","0","87.4","67.6","43.4","12.6","4.9","2.7","1.1","7","29.2","12","35.3","30","50.0","23","7.7","21","190","7.6","9.05","8.26","19.0","91.3","1","5.6","0","2","0","150.6","15.1","18.4","183.8"
"3","De'Von Achane","MIA","RB","11","2025","164","900","81.8","5.49","5","1","0","0","0","77.4","56.1","36.6","17.7","9.8","5.5","2.4","5","50.0","9","42.9","27","56.3","71","21.5","54","370","16.7","6.85","5.21","33.6","76.1","4","23.5","4","9","0","216.0","19.6","21.4","235.0"
"4","Rico Dowdle","CAR","RB","11","2025","168","833","75.7","4.96","5","0","0","0","0","86.9","60.7","36.3","11.9","4.8","3.0","1.2","7","63.6","12","54.5","28","54.9","28","8.0","23","197","8.7","8.57","7.04","17.9","82.1","1","6.7","1","4","1","151.1","13.7","14.7","162.0"
"5","Javonte Williams","DAL","RB","10","2025","161","809","80.9","5.02","8","1","0","0","0","87.0","63.4","37.9","10.6","5.6","2.5","1.9","14","66.7","18","62.1","34","68.0","33","8.9","26","93","3.5","3.58","2.82","9.3","78.8","1","4.5","4","9","1","164.3","16.4","16.8","168.2"
"6","Derrick Henry","BLT","RB","10","2025","166","807","80.7","4.86","7","3","0","0","0","80.1","53.6","34.3","12.0","4.8","3.6","3.0","15","75.0","21","72.4","32","54.2","14","5.3","11","74","3.7","6.73","5.29","7.4","78.6","0","0.0","0","0","0","129.6","13.0","13.9","139.1"
"7","Bijan Robinson","ATL","RB","10","2025","158","783","78.3","4.96","4","2","0","0","0","84.8","62.7","39.9","11.4","6.3","1.9","0.6","5","38.5","8","32.0","20","44.4","57","17.4","47","506","22.7","10.77","8.88","50.6","82.5","2","22.2","2","9","0","186.3","18.6","21.1","210.9"
"8","J.K. Dobbins","DEN","RB","10","2025","153","772","77.2","5.05","4","0","0","0","0","85.6","58.2","41.2","13.7","7.8","3.3","1.3","7","63.6","11","64.7","20","54.1","14","4.0","11","37","1.7","3.36","2.64","3.7","78.6","0","0.0","0","0","0","112.9","11.3","11.6","115.9"
"9","Kyren Williams","LA","RB","10","2025","158","750","75.0","4.75","6","2","0","0","0","86.7","69.0","43.0","10.8","3.2","1.9","1.3","11","55.0","18","52.9","31","57.4","30","8.8","23","182","7.1","7.91","6.07","18.2","76.7","3","11.1","3","9","0","155.8","15.6","16.8","168.2"
"10","Jahmyr Gibbs","DET","RB","10","2025","140","732","73.2","5.23","8","0","0","0","0","84.3","58.6","36.4","11.4","6.4","5.0","2.1","7","41.2","15","46.9","38","60.3","43","13.7","37","334","13.4","9.03","7.77","33.4","86.0","2","9.1","1","7","0","170.6","17.1","20.4","203.6"
"11","Travis Etienne","JAX","RB","10","2025","154","729","72.9","4.73","5","0","0","0","0","83.1","61.0","37.7","11.0","3.9","2.6","1.9","9","45.0","18","52.9","38","50.0","30","8.9","21","130","6.0","6.19","4.33","13.0","70.0","1","9.1","3","5","0","156.6","15.7","14.3","142.9"
"12","Breece Hall","NYJ","RB","10","2025","152","722","72.2","4.75","2","1","0","0","0","84.2","63.8","36.8","14.5","9.9","4.6","1.3","3","50.0","7","43.8","14","38.9","28","10.2","24","226","13.8","9.42","8.07","22.6","85.7","1","9.1","2","4","0","131.2","13.1","14.0","140.0"
"13","Christian McCaffrey","SF","RB","11","2025","193","707","64.3","3.66","6","0","0","0","0","79.8","57.0","32.1","9.8","2.6","0.5","","9","75.0","20","80.0","41","74.5","90","23.2","74","732","24.9","9.89","8.13","66.5","82.2","5","25.0","8","17","1","276.8","25.2","25.8","283.9"
"14","Saquon Barkley","PHI","RB","10","2025","175","662","66.2","3.78","4","0","0","0","0","74.3","54.3","34.3","9.1","4.0","1.1","0.6","7","41.2","14","56.0","23","48.9","33","12.3","28","207","10.4","7.39","6.27","20.7","84.8","2","12.5","3","5","0","158.4","15.8","15.1","150.9"
"15","Josh Jacobs","GB","RB","10","2025","169","648","64.8","3.83","11","2","0","0","0","83.4","59.2","32.5","9.5","4.1","","","15","93.8","24","82.8","42","71.2","34","10.9","28","237","9.8","8.46","6.97","23.7","82.4","0","0.0","0","2","0","170.9","17.1","18.2","181.5"
"16","D'Andre Swift","CHI","RB","9","2025","134","634","70.4","4.73","4","1","0","0","0","83.6","63.4","39.6","15.7","5.2","2.2","","8","61.5","14","50.0","27","48.2","32","10.9","23","210","10.1","9.13","6.56","23.3","71.9","1","10.0","0","0","0","136.2","15.1","15.2","136.4"
"17","Quinshon Judkins","CLV","RB","9","2025","157","620","68.9","3.95","5","0","0","0","0","78.3","49.0","26.8","9.6","3.8","2.5","2.5","8","72.7","14","77.8","25","75.8","18","5.7","14","70","4.6","5.00","3.89","7.8","77.8","0","0.0","0","0","0","125.1","13.9","12.6","113.0"
"18","Kenneth Walker","SEA","RB","10","2025","136","606","60.6","4.46","4","0","0","0","0","79.4","56.6","33.1","14.0","7.4","5.1","0.7","7","35.0","9","29.0","25","38.5","15","5.4","14","127","5.0","9.07","8.47","12.7","93.3","0","0.0","0","0","0","110.3","11.0","11.1","111.3"
"19","Ashton Jeanty","LV","RB","10","2025","149","554","55.4","3.72","4","1","0","0","0","69.8","53.7","34.2","11.4","2.0","0.7","0.7","6","100.0","11","91.7","23","71.9","37","11.9","29","163","7.8","5.62","4.41","16.3","78.4","3","25.0","2","7","1","153.2","15.3","14.2","141.7"
"20","Jaylen Warren","PIT","RB","9","2025","123","536","59.6","4.36","2","0","0","0","0","85.4","63.4","31.7","9.8","3.3","2.4","1.6","8","72.7","11","68.8","22","68.8","28","9.8","25","219","11.5","8.76","7.82","24.3","89.3","1","5.3","1","1","0","121.4","13.5","13.2","118.5"
"21","Chase Brown","CIN","RB","10","2025","126","519","51.9","4.12","2","1","0","0","0","84.1","57.9","32.5","9.5","4.0","3.2","1.6","9","81.8","12","66.7","19","65.5","52","13.9","39","229","9.5","5.87","4.40","22.9","75.0","1","5.0","2","4","1","158.3","15.8","13.4","133.8"
"22","Tony Pollard","TEN","RB","10","2025","129","502","50.2","3.89","2","2","0","0","0","82.9","58.1","33.3","10.9","2.3","0.8","","4","40.0","8","44.4","13","50.0","27","8.1","22","147","7.5","6.68","5.44","14.7","81.5","0","0.0","0","0","0","114.4","11.4","9.7","96.9"
"23","Jacory Croskey-Merritt","WAS","RB","11","2025","114","498","45.3","4.37","4","2","0","0","0","83.3","62.3","36.8","9.6","4.4","1.8","0.9","4","26.7","9","31.0","14","26.9","12","3.9","9","68","3.0","7.56","5.67","6.2","75.0","0","0.0","0","1","0","86.5","7.9","8.0","87.6"
"24","David Montgomery","DET","RB","10","2025","110","493","49.3","4.48","5","1","0","0","0","85.5","53.6","28.2","10.0","3.6","1.8","1.8","10","58.8","15","46.9","21","33.3","18","5.8","15","116","4.7","7.73","6.44","11.6","83.3","0","0.0","0","2","0","100.2","10.0","11.1","111.0"
"25","TreVeyon Henderson","NE","RB","11","2025","100","492","44.7","4.92","5","1","0","0","0","86.0","58.0","35.0","9.0","5.0","3.0","2.0","3","18.8","11","32.4","20","34.5","29","9.0","26","165","5.8","6.35","5.69","15.0","89.7","1","5.0","1","2","0","110.7","10.1","11.5","126.7"
