"Player Details","","","","","","Snaps","","","Rushing","","","Receiving","","","","","","FPTS","","","","",""
"Rank","Name","Team","POS","G","Season","Snaps","TM Snaps","Snap %","ATT","TM ATT","ATT %","RTE","DB","RTE %","TGT","TM TGT","TGT %","XFP","TM XFP","XFP %","XFP/G","FP/G","FP"
"1","Christian McCaffrey","SF","RB","11","2025","585","702","83.3","193","295","65.4","321","419","76.6","90","363","23.2","272.5","829.2","32.9","24.8","25.8","283.9"
"2","De'Von Achane","MIA","RB","11","2025","487","613","79.4","164","260","63.1","239","362","66.0","71","312","21.5","206.1","704.1","29.3","18.7","21.4","235.0"
"3","Jonathan Taylor","IND","RB","10","2025","513","618","83.0","189","274","69.0","234","364","64.3","32","305","9.9","190.5","731.0","26.1","19.0","27.4","273.9"
"4","Bijan Robinson","ATL","RB","10","2025","481","611","78.7","158","269","58.7","256","355","72.1","57","303","17.4","180.0","689.1","26.1","18.0","21.1","210.9"
"5","Josh Jacobs","GB","RB","10","2025","389","606","64.2","169","278","60.8","138","345","40.0","34","286","10.9","166.4","688.6","24.2","16.6","18.2","181.5"
"6","Javonte Williams","DAL","RB","10","2025","491","645","76.1","161","258","62.4","222","404","55.0","33","352","8.9","165.3","833.9","19.8","16.5","16.8","168.2"
"7","Chase Brown","CIN","RB","10","2025","397","587","67.6","126","191","66.0","213","403","52.9","52","347","13.9","162.9","739.3","22.0","16.3","13.4","133.8"
"8","Kyren Williams","LA","RB","10","2025","443","623","71.1","158","270","58.5","175","356","49.2","30","324","8.8","154.1","784.1","19.6","15.4","16.8","168.2"
"9","Saquon Barkley","PHI","RB","10","2025","458","586","78.2","175","292","59.9","152","322","47.2","33","254","12.3","151.2","626.7","24.1","15.1","15.1","150.9"
"10","Ashton Jeanty","LV","RB","10","2025","420","569","73.8","149","226","65.9","173","357","48.5","37","294","11.9","150.8","644.9","23.4","15.1","14.2","141.7"
"11","Jahmyr Gibbs","DET","RB","10","2025","376","613","61.3","140","281","49.8","167","337","49.6","43","290","13.7","149.1","673.6","22.1","14.9","20.4","203.6"
"12","Travis Etienne","JAX","RB","10","2025","387","659","58.7","154","295","52.2","144","388","37.1","30","318","8.9","148.9","776.9","19.2","14.9","14.3","142.9"
"13","Rico Dowdle","CAR","RB","11","2025","382","695","55.0","168","317","53.0","138","393","35.1","28","311","8.0","147.3","754.0","19.5","13.4","14.7","162.0"
"14","James Cook","BUF","RB","10","2025","375","620","60.5","182","301","60.5","142","349","40.7","23","286","7.7","147.0","695.0","21.1","14.7","18.4","183.8"
"15","Derrick Henry","BLT","RB","10","2025","320","566","56.5","166","274","60.6","82","310","26.5","14","248","5.3","133.0","614.9","21.6","13.3","13.9","139.1"
"16","D'Andre Swift","CHI","RB","9","2025","346","573","60.4","134","265","50.6","142","331","42.9","32","274","10.9","131.7","653.5","20.2","14.6","15.2","136.4"
"17","Quinshon Judkins","CLV","RB","9","2025","280","565","49.6","157","223","70.4","85","358","23.7","18","283","5.7","128.1","633.7","20.2","14.2","12.6","113.0"
"18","Alvin Kamara","NO","RB","10","2025","426","615","69.3","128","249","51.4","196","386","50.8","37","324","10.8","127.5","710.9","17.9","12.7","9.9","99.2"
"19","Breece Hall","NYJ","RB","10","2025","368","592","62.2","152","282","53.9","125","352","35.5","28","246","10.2","119.9","582.9","20.6","12.0","14.0","140.0"
"20","Cam Skattebo","NYG","RB","8","2025","275","513","53.6","101","234","43.2","122","305","40.0","30","228","11.8","119.1","574.0","20.8","14.9","16.1","128.7"
"21","Jaylen Warren","PIT","RB","9","2025","276","502","55.0","123","200","61.5","100","308","32.5","28","266","9.8","118.7","589.9","20.1","13.2","13.2","118.5"
"22","Tony Pollard","TEN","RB","10","2025","392","573","68.4","129","200","64.5","176","387","45.5","27","297","8.1","116.6","641.6","18.2","11.7","9.7","96.9"
"23","Rachaad White","TB","RB","10","2025","344","624","55.1","97","264","36.7","174","381","45.7","30","325","8.8","113.3","734.7","15.4","11.3","10.4","104.0"
"24","Kenneth Walker","SEA","RB","10","2025","263","593","44.4","136","307","44.3","91","291","31.3","15","252","5.4","110.2","664.2","16.6","11.0","11.1","111.3"
"25","Kenneth Gainwell","PIT","RB","10","2025","252","555","45.4","61","229","26.6","157","333","47.1","42","287","13.7","109.7","642.4","17.1","11.0","11.0","109.8"
"26","J.K. Dobbins","DEN","RB","10","2025","322","630","51.1","153","270","56.7","71","378","18.8","14","321","4.0","109.7","746.6","14.7","11.0","11.6","115.9"
"27","Woody Marks","HST","RB","10","2025","318","646","49.2","99","259","38.2","134","413","32.4","25","347","6.9","108.0","787.8","13.7","10.8","9.4","93.8"
"28","TreVeyon Henderson","NE","RB","11","2025","310","674","46.0","100","316","31.6","158","402","39.3","29","302","9.0","105.8","735.2","14.4","9.6","11.5","126.7"
"29","David Montgomery","DET","RB","10","2025","252","613","41.1","110","281","39.1","84","337","24.9","18","290","5.8","101.1","673.6","15.0","10.1","11.1","111.0"
"30","Chuba Hubbard","CAR","RB","9","2025","276","566","48.8","91","247","36.8","137","332","41.3","25","265","8.4","98.6","627.9","15.7","11.0","9.0","81.0"
"31","RJ Harvey","DEN","RB","11","2025","222","691","32.1","61","291","21.0","117","419","27.9","32","355","8.2","93.5","816.4","11.5","8.5","9.8","107.9"
"32","Zach Charbonnet","SEA","RB","9","2025","266","539","49.4","105","274","38.3","94","270","34.8","10","233","3.9","91.6","608.3","15.1","10.2","9.6","86.7"
"33","Jordan Mason","MIN","RB","10","2025","303","574","52.8","108","222","48.6","112","370","30.3","14","299","4.4","87.5","662.5","13.2","8.8","9.4","94.3"
"34","Nick Chubb","HST","RB","10","2025","234","646","36.2","99","259","38.2","79","413","19.1","18","347","5.0","87.0","787.8","11.0","8.7","7.1","70.8"
"35","Kimani Vidal","LAC","RB","8","2025","294","508","57.9","96","201","47.8","120","329","36.5","15","258","5.4","86.9","575.4","15.1","10.9","9.6","76.9"
"36","Jacory Croskey-Merritt","WAS","RB","11","2025","270","643","42.0","114","308","37.0","89","377","23.6","12","285","3.9","83.5","699.6","11.9","7.6","8.0","87.6"
"37","Rhamondre Stevenson","NE","RB","8","2025","299","485","61.6","83","229","36.2","132","289","45.7","19","215","8.3","82.7","528.3","15.7","10.3","9.7","77.8"
"38","Kareem Hunt","KC","RB","10","2025","275","640","43.0","86","259","33.2","109","417","26.1","12","333","3.3","80.0","767.1","10.4","8.0","9.4","93.9"
"39","Kyle Monangai","CHI","RB","10","2025","254","649","39.1","87","302","28.8","106","375","28.3","13","307","3.9","76.8","736.2","10.4","7.7","7.9","79.0"
"40","Tyrone Tracy","NYG","RB","9","2025","268","569","47.1","83","252","32.9","127","342","37.1","23","262","7.9","74.2","641.6","11.6","8.2","7.9","71.4"
"41","Omarion Hampton","LAC","RB","5","2025","233","318","73.3","66","119","55.5","117","210","55.7","21","171","11.5","73.5","374.1","19.6","14.7","15.4","77.0"
"42","Bam Knight","ARZ","RB","8","2025","174","525","33.1","53","186","28.5","77","358","21.5","17","287","5.5","73.1","664.7","11.0","9.1","7.1","56.7"
