"Player Details","","","","","","","Matchup","","","","","","Man","","","","","Cover 2","","","","","Cover 3","","","","","Cover 4","","","","","Cover 6","","","",""
"Rank","Name","Team","POS","G","Season","OPP","RTE","RTE/G","FP/RR","EXP FP/RTE","COV GRADE","YPRR","DEF MAN %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 2 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 3 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 4 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 6 %","DEF FP/DB","FP/RTE","RTE %","YPRR"
"1","Dalton Kincaid","BUF","TE","8","2025","HST","130","16.3","0.75","0.87","15.3","3.45","19.0","0.48","0.60","33.8","3.05","9.9","0.17","0.78","15.4","5.25","32.2","0.25","0.75","30.0","3.36","24.3","0.37","1.59","10.8","4.43","14.6","0.29","0.35","10.0","1.23"
"2","Jaxon Smith-Njigba","SEA","WR","10","2025","TEN","246","24.6","0.87","0.84","-3.8","4.64","20.5","0.65","0.72","22.8","3.77","13.7","0.27","0.60","9.3","3.35","28.3","0.33","0.71","35.4","3.39","21.7","0.46","1.48","24.0","8.34","15.8","0.51","0.56","8.5","3.19"
"3","Puka Nacua","LA","WR","9","2025","TB","229","25.4","0.79","0.76","-3.8","3.71","25.0","0.58","0.98","30.6","3.90","16.8","0.27","0.24","7.4","1.18","34.2","0.52","1.00","31.0","4.90","19.2","0.24","0.61","20.1","3.24","4.7","0.55","0.40","10.9","2.40"
"4","Drake London","ATL","WR","9","2025","NO","270","30.0","0.62","0.68","8.6","2.97","24.1","0.70","0.44","28.1","0.93","7.4","0.50","0.61","16.7","3.44","41.5","0.48","0.83","33.3","4.32","19.3","0.26","0.83","11.1","4.30","7.7","0.48","0.27","10.7","1.97"
"5","Amon-Ra St. Brown","DET","WR","10","2025","NYG","286","28.6","0.59","0.66","10.4","2.51","42.9","0.65","0.91","24.8","3.14","11.2","0.32","0.47","18.2","2.35","24.8","0.30","0.52","34.6","2.05","16.9","0.40","0.37","10.8","2.06","4.2","0.31","0.56","11.5","3.18"
"6","DeMario Douglas","NE","WR","11","2025","CIN","153","13.9","0.48","0.64","34.1","2.14","27.3","0.71","1.05","27.5","5.31","12.1","0.45","0.08","16.3","0.40","36.3","0.40","0.24","39.2","1.03","4.5","0.31","0.18","12.4","0.79","19.7","0.45","1.24","4.6","2.43"
"7","Ja'Marr Chase","CIN","WR","10","2025","NE","344","34.4","0.53","0.56","7.0","2.40","28.5","0.79","0.47","27.0","1.55","21.0","0.25","0.43","28.8","2.44","28.2","0.34","0.58","21.5","2.28","19.5","0.36","0.83","11.0","4.05","2.8","0.12","0.52","11.6","2.93"
"8","George Pickens","DAL","WR","10","2025","PHI","334","33.4","0.55","0.55","-0.2","2.70","28.2","0.46","0.70","29.6","3.34","4.1","0.56","0.24","16.5","1.49","30.4","0.35","0.76","29.0","3.45","15.6","0.40","0.50","12.9","2.91","21.6","0.31","0.15","12.0","0.73"
"9","Stefon Diggs","NE","WR","11","2025","CIN","256","23.3","0.55","0.53","-2.8","2.54","27.3","0.71","0.72","27.0","2.99","12.1","0.45","0.44","16.8","2.07","36.3","0.40","0.52","36.3","2.46","4.5","0.31","0.53","12.1","3.03","19.7","0.45","0.36","7.8","1.60"
"10","Brock Bowers","LV","TE","7","2025","CLV","202","28.9","0.45","0.52","15.3","2.09","39.1","0.63","0.72","24.8","2.58","18.4","0.30","0.23","15.8","1.00","29.3","0.19","0.55","29.7","2.97","6.9","0.25","0.16","19.3","0.79","6.3","0.81","0.44","10.4","2.48"
