Coach,Seasons,Games,Super Bowls,Conf Champ,Playoff Berths,Status,Wins,Losses,Ties,Win %,ATS %,Return (units),Return (%),Avg PF,Avg PA,Avg Margin,Avg Spread,Home,Away,Favorite,Dog,Off a Bye,Division,Non Division,Playoffs
Andy Reid,27,474,3,6,20,true,306,167,1,0.64557,0.540948,16.7,0.0320292,24.7637,20,4.76371,-3.0538,0.49789,0.585903,0.513678,0.61194,0.595238,0.560976,0.53,0.577778
Mike Tomlin,19,320,1,2,12,true,196,122,2,0.6125,0.527157,2.2,0.00625,22.9094,20.0406,2.86875,-2.27656,0.557692,0.496815,0.478049,0.62037,0.541667,0.580357,0.497512,0.411765
John Harbaugh,18,309,1,1,12,true,189,120,0,0.61165,0.531773,5,0.0147102,24.5761,19.3592,5.21683,-2.77508,0.482993,0.578947,0.507317,0.585106,0.590909,0.509804,0.543147,0.625
Sean Payton,18,303,1,1,10,true,187,116,0,0.617162,0.541806,11.3,0.0339034,26.8284,22.4488,4.37954,-2.70297,0.523179,0.560811,0.525,0.575758,0.571429,0.537736,0.544041,0.388889
Pete Carroll,19,322,1,2,12,true,183,138,1,0.568323,0.523077,-0.4,-0.00134183,23.4945,20.583,2.91144,-1.66974,0.542636,0.503817,0.48,0.581818,0.473684,0.484211,0.545455,0.473684
Sean McDermott,9,154,0,0,7,true,99,55,0,0.642857,0.540541,5.2,0.0306966,25.3701,20.3896,4.98052,-2.72727,0.532468,0.549296,0.541667,0.538462,0.714286,0.5,0.5625,0.428571
Sean McVay,9,154,1,2,6,true,95,59,0,0.616883,0.56,11.4,0.0672963,25.0584,21.539,3.51948,-2.41883,0.527027,0.592105,0.56,0.56,0.416667,0.615385,0.530612,0.615385
Kyle Shanahan,9,154,0,2,4,true,84,70,0,0.545455,0.496732,-8.7,-0.0513577,24.6039,21.9156,2.68831,-1.98377,0.453333,0.538462,0.479592,0.527273,0.333333,0.509434,0.49,0.583333
Matt LaFleur,7,117,0,0,5,true,75,41,1,0.641026,0.551724,6.8,0.0528361,25.265,21.265,4,-2.81624,0.59322,0.508772,0.506329,0.648649,0.4,0.555556,0.55,0.5
Jim Harbaugh,6,100,0,1,4,true,67,32,1,0.67,0.618557,19.3,0.175455,23.63,18.44,5.19,-3.385,0.591837,0.645833,0.61039,0.631579,0.5,0.575758,0.640625,0.5
Mike Vrabel,7,114,0,0,3,true,64,50,0,0.561404,0.527273,0.8,0.00637959,22.7281,21.4386,1.28947,0.315789,0.5,0.553571,0.461538,0.586207,0.857143,0.526316,0.527778,0.4
Dan Quinn,8,120,0,1,3,true,63,57,0,0.525,0.458333,-16.5,-0.125,25.7667,24.4083,1.35833,-0.858333,0.483333,0.433333,0.426471,0.5,0.5,0.475,0.45,0.625
Nick Sirianni,5,86,1,2,4,true,61,25,0,0.709302,0.542169,3.2,0.0338266,26.8372,21.4419,5.39535,-3.84884,0.55814,0.525,0.555556,0.5,0.714286,0.481481,0.571429,0.555556
Todd Bowles,9,131,0,0,3,true,60,71,0,0.458015,0.492063,-8.4,-0.0582929,21.6641,22.7557,-1.0916,1.19466,0.46875,0.516129,0.473684,0.507246,0.375,0.488889,0.493827,0.25
Zac Taylor,7,115,0,1,2,true,54,60,1,0.469565,0.553571,7,0.055336,23.3478,24.2783,-0.930435,0.852174,0.5,0.603448,0.566038,0.542373,0.571429,0.473684,0.594595,0.714286
Dan Campbell,6,93,0,0,2,true,52,40,1,0.55914,0.683544,26.5,0.297419,27.1975,24.1481,3.04938,-0.185185,0.666667,0.7,0.697674,0.666667,0.5,0.68,0.685185,0.5
Kevin Stefanski,6,96,0,0,2,true,43,53,0,0.447917,0.414894,-21.5,-0.203598,20.8021,23.7812,-2.97917,0.661458,0.488889,0.346939,0.395349,0.431373,0.166667,0.352941,0.45,0.666667
Kevin O'Connell,4,62,0,0,2,true,38,24,0,0.612903,0.508772,-1.8,-0.026393,23.129,22.4516,0.677419,-0.943548,0.451613,0.576923,0.527778,0.47619,0.333333,0.473684,0.526316,0
Raheem Morris,6,85,0,0,0,true,32,53,0,0.376471,0.440476,-14.7,-0.157219,20.0353,24.6706,-4.63529,2.65882,0.333333,0.547619,0.44,0.440678,0.5,0.419355,0.45283,
Mike McDaniel,4,63,0,0,2,true,31,32,0,0.492063,0.507937,-2.1,-0.030303,23.5873,23.3333,0.253968,-0.944444,0.566667,0.454545,0.575758,0.433333,0.333333,0.695652,0.4,0.5
DeMeco Ryans,3,47,0,0,2,true,26,21,0,0.553191,0.5,-2.3,-0.0444874,22.4255,20.383,2.04255,0.0531915,0.521739,0.478261,0.454545,0.541667,0.333333,0.466667,0.516129,0.75
Shane Steichen,3,44,0,0,0,true,25,19,0,0.568182,0.545455,2,0.0413223,24.8636,23.8182,1.04545,-0.0568182,0.565217,0.52381,0.619048,0.478261,0.5,0.714286,0.466667,
Brian Daboll,4,63,0,0,1,true,21,41,1,0.333333,0.516129,-1,-0.01443,18.3968,24.254,-5.85714,5.01587,0.551724,0.484848,0.428571,0.527273,0.666667,0.478261,0.538462,0.5
Mike Macdonald,2,26,0,0,0,true,17,9,0,0.653846,0.5,-1.3,-0.0454545,25,20.7692,4.23077,-0.826923,0.357143,0.666667,0.538462,0.461538,1,0.555556,0.470588,
Jonathan Gannon,3,43,0,0,0,true,15,28,0,0.348837,0.581395,5.2,0.109937,21.6744,24.3953,-2.72093,3.53488,0.571429,0.590909,0.4,0.636364,0.333333,0.4,0.678571,
Dave Canales,2,27,0,0,0,true,10,17,0,0.37037,0.518519,-0.3,-0.010101,19.1852,28,-8.81481,5.88889,0.571429,0.461538,0,0.56,1,0.5,0.526316,
Ben Johnson,1,9,0,0,0,true,6,3,0,0.666667,0.555556,0.6,0.0606061,26.5556,27.4444,-0.888889,0.722222,0.5,0.6,0.666667,0.5,1,0,0.714286,
Liam Coen,1,9,0,0,0,true,5,4,0,0.555556,0.444444,-1.5,-0.151515,22.7778,24.4444,-1.66667,0.555556,0.6,0.25,0.5,0.4,0,0.5,0.428571,
Brian Callahan,2,26,0,0,0,true,4,22,0,0.153846,0.2,-17,-0.594406,16.9615,27.5769,-10.6154,4.82692,0.0909091,0.285714,0,0.25,0,0.111111,0.25,
Brian Schottenheimer,1,9,0,0,0,true,3,5,1,0.333333,0.444444,-1.5,-0.151515,29.2222,30.7778,-1.55556,0.722222,0.5,0.4,0.2,0.75,,0.666667,0.333333,
Aaron Glenn,1,9,0,0,0,true,2,7,0,0.222222,0.555556,0.6,0.0606061,21.6667,26.7778,-5.11111,3.27778,0.5,0.666667,0,0.714286,1,0,0.714286,
Kellen Moore,1,10,0,0,0,true,2,8,0,0.2,0.3,-4.7,-0.427273,15.5,25,-9.5,6.25,0.2,0.4,1,0.222222,,0.5,0.25,
