Team,Season,EPA/Play,EPA/Play Against
IND,2025,0.2114,-0.0097
KC,2025,0.1693,0.026
BUF,2025,0.1597,0.0634
DAL,2025,0.1594,0.1803
DET,2025,0.146,-0.0328
LAR,2025,0.1188,-0.0782
GB,2025,0.1068,0.0228
SEA,2025,0.096,-0.1205
NE,2025,0.0937,-0.0387
SF,2025,0.0672,0.0803
WAS,2025,0.0562,0.1651
CHI,2025,0.0546,0.0621
BAL,2025,0.0535,0.0623
PIT,2025,0.0511,0.0507
PHI,2025,0.0505,-0.0014
CIN,2025,0.0401,0.2027
LAC,2025,0.0329,-0.0368
NYG,2025,0.0315,0.12
MIA,2025,0.0251,0.1144
DEN,2025,0.0112,-0.0886
JAX,2025,0.0071,0.031
TB,2025,-0.0008,-0.0342
ARI,2025,-0.0029,0.0214
NYJ,2025,-0.0032,0.1019
HOU,2025,-0.0319,-0.176
CAR,2025,-0.0359,0.055
ATL,2025,-0.0461,0.0413
MIN,2025,-0.0913,-0.0491
OAK,2025,-0.1606,0.015
NO,2025,-0.1652,0.0226
TEN,2025,-0.1864,0.095
CLE,2025,-0.1923,-0.0679
