QB,Season,Starts,Points,Change (Week),Change (Year),Total,/ DB,Comp,Atts,Comp%,CPOE,Yards,YPA,TDs,INTs,Sacks,Carries,Yards,YPC,TDs,TD%,INT%,TD%-INT%,Success,Passer Rtg,ANY/A,QB Elo,QBR,Rushing,Sacks,Inc,INTs,Air Yards,YAC,Penalties,aDOT,vs Sticks,W,L,T,CB,CB Opps,CB%,WPA / DB,Total WPA
Josh Allen,2025,9,3.23086,-0.0977423,-0.229515,90.4381,0.2591,185,262,0.7061,4.6111,2139,8.1641,15,5,20,48,321,6.6875,7,0.0573,0.0191,0.0382,0.5301,106.075,7.4539,257.207,61.6,0.0514,0.0355,0.039,0.025,-0.0598,0.0788,0.0026,7.7939,-0.6718,6,3,0,1,3,0.3333,0.0053,1.8535
Lamar Jackson,2025,6,2.96073,-0.317225,-0.619263,51.2881,0.249,103,147,0.7007,6.1128,1249,8.4966,15,1,18,32,219,6.8438,1,0.102,0.0068,0.0952,0.5243,127.055,8.3515,233.853,73.2,0.0436,-0.0462,0.0267,0.0487,0.0972,0.0023,-0.0101,7.9184,-1.0476,3,3,0,0,1,0,0.006,1.2273
Patrick Mahomes,2025,9,2.72162,-0.915236,0.517004,99.0296,0.2533,204,315,0.6476,2.1546,2349,7.4571,17,5,17,39,292,7.4872,4,0.054,0.0159,0.0381,0.5345,98.4987,7.0934,259.38,74.5,0.0164,0.0538,0.0065,-0.0006,0.018,0.0716,0.0011,8.3556,-0.0413,5,4,0,0,4,0,0.0048,1.8928
Matthew Stafford,2025,9,2.01285,0.312829,1.97054,93.851,0.2681,208,308,0.6753,4.3838,2427,7.8799,25,2,14,5,11,2.2,0,0.0812,0.0065,0.0747,0.5429,115.544,8.5373,253.077,69.2,-0.0472,0.0182,-0.0115,0.05,0.147,0.0037,0.0214,8.9903,0.974,7,2,0,1,3,0.3333,0.0085,2.964
Jared Goff,2025,9,1.77355,0.608895,0.684689,81.8537,0.2658,202,273,0.7399,8.5224,2235,8.1868,20,3,18,6,27,4.5,0,0.0733,0.011,0.0623,0.539,117.697,8.2027,232.751,68.1,-0.0265,-0.0203,0.0218,0.038,-0.0058,0.1885,-0.0166,6.381,-1.8718,6,3,0,0,1,0,0.0048,1.4856
Dak Prescott,2025,9,1.68385,-0.547371,0.43765,79.3744,0.2046,228,327,0.6972,3.6204,2319,7.0917,17,6,15,20,124,6.2,1,0.052,0.0183,0.0336,0.4845,99.4202,6.6988,234.576,74.4,-0.0106,0.0449,0.0179,0.0144,0.0398,-0.0119,0.0234,7.5107,-1.0183,3,5,1,1,4,0.25,0.0096,3.7381
Jalen Hurts,2025,9,1.41359,-0.0844031,-0.0124158,56.2945,0.1696,166,241,0.6888,6.0382,1860,7.7178,16,1,25,54,246,4.5556,5,0.0664,0.0041,0.0622,0.4729,112.042,7.5188,209.712,63.3,0.0314,-0.0135,0.054,0.0437,0.0335,-0.0607,-0.0055,8.7635,0.1369,7,2,0,1,2,0.5,0.0047,1.548
Joe Burrow,2025,2,1.02342,-0.726671,-1.36342,-0.9039,-0.0196,21,36,0.5833,-1.5459,189,5.25,2,0,5,2,3,1.5,0,0.0556,0,0.0556,0.4348,91.088,4.9512,25.4618,58.2,-0.0675,-0.0426,-0.0532,0.0703,0.1933,-0.2015,-0.005,6.8611,-1.0833,2,0,0,0,0,,0.0016,0.0748
Baker Mayfield,2025,9,0.993611,0.278774,0.301109,45.9651,0.1246,200,311,0.6431,-1.9689,2192,7.0482,16,2,19,17,162,9.5294,0,0.0514,0.0064,0.045,0.4526,99.511,6.9303,211.768,61.2,0.0204,0.0178,-0.0245,0.0424,-0.0684,0.0479,0.0023,8.3505,-0.5852,6,3,0,4,6,0.6667,0.0045,1.6434
Jordan Love,2025,9,0.787733,-0.470375,0.96025,95.3335,0.2812,197,285,0.6912,6.3973,2247,7.8842,13,3,14,22,145,6.5909,0,0.0456,0.0105,0.0351,0.5221,103.355,7.5652,217.294,68.6,0.016,0.0279,0.004,0.0233,0.0121,0.108,0.0034,7.8,-0.8912,5,3,1,1,4,0.25,0.011,3.727
Bo Nix,2025,10,0.709486,-0.806838,-0.321465,24.709,0.0584,213,349,0.6103,-3.0812,2126,6.0917,18,8,10,36,216,6,3,0.0516,0.0229,0.0287,0.4137,85.9659,5.7521,190.444,54.9,-0.007,0.0656,-0.0234,0.0021,-0.0788,0.0411,-0.0278,7.9112,-1.3524,8,2,0,4,4,1,0.0018,0.7733
Brock Purdy,2025,2,0.696462,-0.128313,-0.0132458,16.7165,0.1967,48,73,0.6575,3.0061,586,8.0274,4,4,2,5,32,6.4,0,0.0548,0.0548,0,0.5765,85.7591,6.28,190.423,67.2,-0.0026,0.0302,-0.0006,-0.1227,0.1618,0.0239,0.0202,7.7534,-0.3973,1,1,0,1,2,0.5,0.0081,0.6888
Jayden Daniels,2025,6,0.575172,-0.277349,-0.5866,21.349,0.0854,105,166,0.6325,-1.2166,1184,7.1325,8,2,17,48,267,5.5625,2,0.0482,0.012,0.0361,0.484,95.5572,6.4262,169.989,51.2,0.0081,-0.0027,-0.0236,0.0365,0.0107,-0.03,-0.0001,8.006,-0.8795,2,4,0,0,0,,0.0029,0.7276
Kyler Murray,2025,5,0.567145,0.0366272,-0.835747,23.545,0.107,110,161,0.6832,-0.5288,962,5.9752,6,3,16,27,175,6.4815,1,0.0373,0.0186,0.0186,0.45,88.574,4.7232,151.272,44.2,0.0071,0.0017,0.0424,0.0287,-0.0987,0.0214,0.0182,5.8447,-3.0683,2,3,0,0,2,0,0.0042,0.9272
Sam Darnold,2025,9,0.475719,-0.358488,1.43017,85.8322,0.3301,162,227,0.7137,11.2744,2262,9.9648,17,6,10,5,47,9.4,0,0.0749,0.0264,0.0485,0.5615,117.025,9.5781,212.71,77.6,-0.0125,0.003,0.0659,-0.0336,0.2047,0.001,0.0151,9.2467,0.163,7,2,0,0,2,0,0.0069,1.8025
Justin Herbert,2025,10,0.471429,-0.434966,0.486231,49.8952,0.1106,240,358,0.6704,0.9633,2610,7.2905,19,8,33,41,333,8.122,1,0.0531,0.0223,0.0307,0.5011,96.7062,6.2276,196.692,63.6,0.0373,-0.009,0.0111,-0.0285,0.0202,0.0016,-0.0086,7.6369,-1.3212,7,3,0,2,3,0.6667,0.0032,1.4226
Drake Maye,2025,10,0.455771,-0.179331,1.13341,101.817,0.2597,205,286,0.7168,9.6868,2555,8.9336,19,5,35,51,297,5.8235,2,0.0664,0.0175,0.049,0.5204,113.899,7.9657,208.925,72.9,0.001,-0.0291,0.0578,0.0121,0.1635,-0.031,-0.0012,8.5524,-0.4161,8,2,0,0,2,0,0.0077,3.0006
Kirk Cousins,2025,1,0.227211,-0.329274,-0.329274,-6.4213,-0.1566,26,38,0.6842,0.4386,202,5.3158,0,0,1,1,3,3,0,0,0,0,0.4146,81.25,5.0513,92.161,,-0.0296,0.0675,-0.1604,0.0703,-0.1362,-0.0892,0.0344,7.7632,-0.5263,0,2,0,0,0,,-0.0003,-0.0121
Daniel Jones,2025,10,0.0891351,-0.30458,1.71287,81.8244,0.2103,223,317,0.7035,3.8642,2659,8.388,15,7,21,33,146,4.4242,5,0.0473,0.0221,0.0252,0.5398,102.228,7.3728,222.199,66.8,0.0155,-0.003,0.0508,-0.0022,0.0324,0.0425,-0.0122,8.4416,-0.4353,8,2,0,3,4,0.75,0.0043,1.6809
Caleb Williams,2025,9,0.0194897,0.492802,1.50259,36.3639,0.0991,178,293,0.6075,-3.757,2136,7.2901,13,4,14,37,255,6.8919,3,0.0444,0.0137,0.0307,0.4578,92.1857,6.9153,199.186,57.7,-0.0092,0.0466,-0.0439,0.0274,-0.0126,0.0233,-0.0191,8.4198,-0.8362,6,3,0,4,6,0.6667,0.0044,1.6007
Aaron Rodgers,2025,9,-0.00738464,-0.792955,-1.44672,11.2826,0.036,183,274,0.6679,1.8132,1853,6.7628,18,7,18,6,24,4,0,0.0657,0.0255,0.0401,0.4409,97.1715,6.1233,151.974,44.9,-0.0303,0.0249,-0.012,-0.0159,-0.1422,0.1129,0.012,5.9891,-3.1642,5,4,0,1,3,0.3333,0.0008,0.2659
Russell Wilson,2025,3,-0.0738422,-0.720878,-0.42435,-4.0004,-0.0253,69,119,0.5798,-1.48,831,6.9832,3,3,10,18,106,5.8889,0,0.0252,0.0252,0,0.4051,77.3985,5.3488,140.057,,-0.0399,0.0132,-0.1016,0.0145,0.009,-0.065,0.0579,8.8908,-0.1092,2,4,0,0,3,0,0.0049,0.7727
Mac Jones,2025,8,-0.230328,0.884056,1.54932,47.141,0.1407,201,286,0.7028,3.6786,2151,7.521,13,6,16,21,71,3.381,0,0.0455,0.021,0.0245,0.5284,98.3974,6.7318,197.377,64.8,-0.0097,0.0129,0.0246,-0.0014,0.0504,-0.0025,-0.0203,7.4266,-1.6608,5,3,0,1,2,0.5,0.0042,1.4128
Jaxson Dart,2025,7,-0.250781,0.656274,2.26682,47.1857,0.1605,128,203,0.6305,-0.6497,1417,6.9803,10,3,21,52,320,6.1538,7,0.0493,0.0148,0.0345,0.483,93.9758,6.2455,221.684,63.7,0.0704,-0.0048,0.0268,0.0379,-0.0699,-0.0116,0.025,8.6108,-0.6108,2,7,0,0,2,0,0.0041,1.2171
Joe Flacco,2025,8,-0.504496,0.591368,0.652671,-7.8882,-0.0208,205,330,0.6212,-1.6497,2069,6.2697,13,8,16,9,42,4.6667,1,0.0394,0.0242,0.0152,0.438,83.0051,5.3988,154.446,48.2,-0.0169,0.0008,-0.032,-0.0117,-0.0538,0.0179,-0.0118,7.3242,-1.6727,2,6,0,2,5,0.4,-0.0007,-0.2478
