Team,Season,Original Rating,Current Rating,Win Total,Total Result,Avg. Opp. Rating,Rank,Avg. Opp. Rating,Rank,Avg. Opp. Rating,Rank
DET,2025,3.91255,6.34,9.5,Active,2.05598,1,-1.02667,22,,
NYG,2025,-3.38349,-3.43,5.5,Active,1.7733,2,0.413,11,,
PHI,2025,5.46796,3.29,10.5,Active,1.73482,3,0.823333,7,,
CLE,2025,-5.55016,-5.61,4.5,Active,1.6965,4,-0.56,19,,
MIN,2025,3.12496,-0.55,9.5,Active,1.58147,5,-0.788889,21,,
CHI,2025,-0.0390495,-2.84,7.5,Active,1.45756,6,-3.08556,31,,
KC,2025,6.58069,7.31,11.5,Active,1.39165,7,0.373333,12,,
DAL,2025,-0.437955,-2.19,7.5,Active,1.37612,8,-1.41556,24,,
GB,2025,4.71442,2,10.5,Active,1.32143,9,-1.99,28,,
WAS,2025,2.896,-2.59,9.5,Active,1.18953,10,0.84,6,,
PIT,2025,1.27518,-1.34,8.5,Active,1.18564,11,-0.424444,16,,
BAL,2025,6.70286,2.57,11.5,Active,1.14725,12,1.81222,3,,
CIN,2025,2.74893,-4.64,9.5,Active,1.04723,13,-0.613333,20,,
OAK,2025,-2.32282,-6.07,6.5,Active,1.02263,14,0.5,10,,
DEN,2025,2.90308,3.29,9.5,Active,1.00926,15,-1.882,27,,
LAC,2025,2.6166,2.09,9.5,Active,0.978522,16,-1.239,23,,
HOU,2025,2.34124,5.32,9.5,Active,0.822205,17,1.01,5,,
IND,2025,-1.64559,6.35,7.5,Over,0.256551,18,-2.039,29,,
JAX,2025,-1.54315,-0.08,7.5,Active,0.113456,19,2.07667,2,,
LAR,2025,2.0306,7.94,9.5,Active,0.0718921,20,-0.467778,17,,
NYJ,2025,-3.90238,-6.06,6.5,Active,0.0048905,21,-2.11889,30,,
MIA,2025,-1.93469,-4.07,7.5,Active,-0.0533657,22,-0.086,14,,
TEN,2025,-3.84748,-7.81,6.5,Active,-0.168831,23,2.97111,1,,
SEA,2025,-0.221246,7.42,8.5,Active,-0.180082,24,-0.47,18,,
ARI,2025,-0.0156206,0.08,8.5,Active,-0.220199,25,0.165556,13,,
BUF,2025,6.80145,3.43,12.5,Active,-0.462154,26,-1.85778,26,,
CAR,2025,-4.13938,-4.3,6.5,Active,-0.738298,27,-1.558,25,,
TB,2025,1.02036,1.7,9.5,Active,-0.816596,28,0.736667,8,,
ATL,2025,-2.40558,-2.23,7.5,Active,-0.845684,29,-0.0944445,15,,
NO,2025,-8.07583,-7.26,4.5,Active,-0.863619,30,0.72,9,,
NE,2025,-1.07438,1.39,8.5,Active,-0.944036,31,-3.779,32,,
SF,2025,1.95396,1.94,10.5,Active,-1.39298,32,1.519,4,,
