season,week,team_code,offense_series_score,defense_series_score,ol_structure_score,coaching_edge_score,structural_edge,notes
2025,12,DET,0.75,0.25,0.75,0.5,2.0,Synthesized from Week 12 charts
2025,12,BUF,0.75,0.25,0.5,0.25,1.75,Synthesized from Week 12 charts
2025,12,KC,0.75,0.5,0.75,0.0,2.0,Synthesized from Week 12 charts
2025,12,PHI,0.75,0.5,0.75,0.5,2.0,Synthesized from Week 12 charts
2025,12,BAL,0.75,0.0,0.5,0.25,1.5,Synthesized from Week 12 charts
2025,12,SF,0.75,0.25,0.5,0.0,1.5,Synthesized from Week 12 charts
2025,12,LAR,0.5,0.25,0.25,0.25,1.25,Synthesized from Week 12 charts
2025,12,GB,0.5,0.0,0.75,0.25,1.5,Synthesized from Week 12 charts
2025,12,MIA,0.25,0.25,0.0,0.5,1.0,Synthesized from Week 12 charts
2025,12,MIN,0.0,0.75,0.25,0.0,1.0,Synthesized from Week 12 charts
2025,12,SEA,0.25,0.0,0.0,0.0,0.25,Synthesized from Week 12 charts
2025,12,CIN,0.5,-0.5,-0.25,0.0,-0.25,Synthesized from Week 12 charts
2025,12,DAL,0.25,0.0,0.25,0.5,1.0,Synthesized from Week 12 charts
2025,12,TB,0.25,-0.25,0.75,0.0,0.75,Synthesized from Week 12 charts
2025,12,LAC,0.0,0.5,0.5,0.25,1.25,Synthesized from Week 12 charts
2025,12,HOU,0.0,0.5,0.0,0.0,0.5,Synthesized from Week 12 charts
2025,12,IND,0.0,0.0,0.5,0.0,0.5,Synthesized from Week 12 charts
2025,12,JAX,0.0,-0.25,0.0,0.25,0.0,Synthesized from Week 12 charts
2025,12,ATL,0.0,-0.25,0.25,-0.25,-0.25,Synthesized from Week 12 charts
2025,12,NO,0.0,0.0,0.0,-0.5,-0.5,Synthesized from Week 12 charts
2025,12,CHI,-0.25,0.25,-0.25,0.0,-0.25,Synthesized from Week 12 charts
2025,12,DEN,-0.25,0.5,-0.25,0.0,0.0,Synthesized from Week 12 charts
2025,12,PIT,-0.25,0.5,-0.25,0.0,0.0,Synthesized from Week 12 charts
2025,12,NYJ,-0.75,0.25,-0.5,0.0,-1.0,Synthesized from Week 12 charts
2025,12,LV,-0.5,-0.25,-0.25,-0.5,-1.5,Synthesized from Week 12 charts
2025,12,WAS,-0.25,-0.5,-0.25,0.0,-1.0,Synthesized from Week 12 charts
2025,12,ARI,0.0,-0.5,0.0,0.0,-0.5,Synthesized from Week 12 charts
2025,12,TEN,-0.75,0.0,-0.75,0.0,-1.5,Synthesized from Week 12 charts
2025,12,CLE,-0.75,0.25,-0.5,0.0,-1.0,Synthesized from Week 12 charts
2025,12,NYG,-0.75,-0.25,-0.75,0.0,-1.75,Synthesized from Week 12 charts
2025,12,CAR,-0.5,-0.5,0.0,0.0,-1.0,Synthesized from Week 12 charts
2025,12,NE,-0.5,0.0,-0.75,0.0,-1.25,Synthesized from Week 12 charts
