season,week,team_code,team_name,market_rating,nfelo_value,substack_points,objective_composite,athletic_rank,pff_rank,analyst_composite_rating,offense_series_score,defense_series_score,ol_structure_score,coaching_edge_score,structural_edge,subjective_health_adj,subjective_form_adj,subjective_total,bk_blended_rating,notes
2025,12,LAR,Rams,6.4,6.57405,5.098828279662161,5.83643913983108,2,1,2.903225806451613,0.5,0.25,0.25,0.25,1.25,0.0,0.0,1.25,5.016576903239647,Synthesized from Week 12 charts
2025,12,KC,Chiefs,5.9,5.25748,3.7744185779191617,4.515949288959581,16,2,1.4516129032258065,0.75,0.5,0.75,0.0,2.0,0.0,0.0,2.0,4.205107367333036,Synthesized from Week 12 charts
2025,12,DET,Lions,5.4,5.62076,3.733465998215292,4.677112999107646,8,6,1.838709677419355,0.75,0.25,0.75,0.5,2.0,0.0,0.0,2.0,4.130875835216164,Synthesized from Week 12 charts
2025,12,PHI,Eagles,5.0,5.2761,4.334418196604416,4.805259098302208,1,7,2.419354838709677,0.75,0.5,0.75,0.5,2.0,0.0,0.0,2.0,4.125448697232597,Synthesized from Week 12 charts
2025,12,BUF,Bills,5.5,4.94768,3.007419156846888,3.977549578423444,7,5,2.032258064516129,0.75,0.25,0.5,0.25,1.75,0.0,0.0,1.75,3.9747164864302587,Synthesized from Week 12 charts
2025,12,SEA,Seahawks,5.2,4.38247,4.093159972042747,4.237814986021373,6,8,1.838709677419355,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,3.744086431290283,Synthesized from Week 12 charts
2025,12,GB,Packers,4.3,3.72,2.096660355958443,2.908330177979222,10,4,1.838709677419355,0.5,0.0,0.75,0.25,1.5,0.0,0.0,1.5,3.1102409888776372,Synthesized from Week 12 charts
2025,12,BAL,Ravens,3.4,3.82801,2.201749596663948,3.014879798331974,17,3,1.2580645161290325,0.75,0.0,0.5,0.25,1.5,0.0,0.0,1.5,2.6660768427253982,Synthesized from Week 12 charts
2025,12,IND,Colts,3.6,2.56052,2.242014717925459,2.4012673589627296,3,11,1.8387096774193548,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,2.5781221431726897,Synthesized from Week 12 charts
2025,12,DEN,Broncos,1.6,2.10605,3.0467692210082804,2.5764096105041405,4,9,1.935483870967742,-0.25,0.5,-0.25,0.0,0.0,0.0,0.0,0.0,1.8000196573447909,Synthesized from Week 12 charts
2025,12,NE,Patriots,2.4,2.45873,1.0894884440002928,1.7741092220001464,5,15,1.2580645161290325,-0.5,0.0,-0.75,0.0,-1.25,0.0,0.0,-1.25,1.6188456698258504,Synthesized from Week 12 charts
2025,12,SF,49ers,1.7,1.53099,1.6522343929903411,1.5916121964951706,11,10,1.161290322580645,0.75,0.25,0.5,0.0,1.5,0.0,0.0,1.5,1.5397417234646804,Synthesized from Week 12 charts
2025,12,LAC,Chargers,1.8,1.30637,0.2217381221468737,0.7640540610734369,15,12,0.5806451612903227,0.0,0.5,0.5,0.25,1.25,0.0,0.0,1.25,1.1903452505800958,Synthesized from Week 12 charts
2025,12,TB,Buccaneers,1.4,0.30439,1.3111547662584466,0.8077723831292233,9,14,0.967741935483871,0.25,-0.25,0.75,0.0,0.75,0.0,0.0,0.75,1.0708801020355412,Synthesized from Week 12 charts
2025,12,JAX,Jaguars,0.3,-2.06397,0.4166715232530923,-0.8236492383734537,14,17,0.1935483870967742,0.0,-0.25,0.0,0.25,0.0,0.0,0.0,0.0,-0.08838509409268126,Synthesized from Week 12 charts
2025,12,HOU,Texans,-1.5,0.37374,2.5331384603539355,1.453439230176968,19,13,0.0967741935483872,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,-0.09461339223723221,Synthesized from Week 12 charts
2025,12,DAL,Cowboys,-0.2,-0.204692,-0.8491310954171826,-0.5269115477085913,20,20,-0.6774193548387095,0.25,0.0,0.25,0.5,1.0,0.0,0.0,1.0,-0.27355733528031934,Synthesized from Week 12 charts
2025,12,CHI,Bears,-1.2,-0.214907,-0.9480367003859096,-0.5814718501929548,12,16,0.4838709677419355,-0.25,0.25,-0.25,0.0,-0.25,0.0,0.0,-0.25,-0.5826673615094993,Synthesized from Week 12 charts
2025,12,MIN,Vikings,-0.7,-1.85897,-0.8748768757488155,-1.3669234378744075,21,18,-0.5806451612903225,0.0,0.75,0.25,0.0,1.0,0.0,0.0,1.0,-0.7062060636203867,Synthesized from Week 12 charts
2025,12,PIT,Steelers,-2.0,0.204688,0.2059053663807886,0.2052966831903943,13,19,0.0967741935483872,-0.25,0.5,-0.25,0.0,0.0,0.0,0.0,0.0,-0.7190561563332043,Synthesized from Week 12 charts
2025,12,ARI,Cardinals,-3.3,-3.17776,-1.3636911584441902,-2.2707255792220957,22,22,-1.064516129032258,0.0,-0.5,0.0,0.0,-0.5,0.0,0.0,-0.5,-2.26412089957308,Synthesized from Week 12 charts
2025,12,MIA,Dolphins,-3.3,-4.46278,-1.5164237432835117,-2.989601871641756,24,21,-1.161290322580645,0.25,0.25,0.0,0.5,1.0,0.0,0.0,1.0,-2.349138626008656,Synthesized from Week 12 charts
2025,12,CAR,Panthers,-4.3,-3.99402,-2.8489366037528496,-3.4214783018764248,18,23,-0.7741935483870965,-0.5,-0.5,0.0,0.0,-1.0,0.0,0.0,-1.0,-3.0012822002403468,Synthesized from Week 12 charts
2025,12,ATL,Falcons,-5.8,-0.681328,-2.6695917076270934,-1.6754598538135468,25,24,-1.548387096774193,0.0,-0.25,0.25,-0.25,-0.25,0.0,0.0,-0.25,-3.1573153754989023,Synthesized from Week 12 charts
2025,12,LV,Raiders,-5.0,0.0,-4.355860177728652,-2.177930088864326,30,27,-2.32258064516129,-0.5,-0.25,-0.25,-0.5,-1.5,0.0,0.0,-1.5,-3.267895155691556,Synthesized from Week 12 charts
2025,12,NYG,Giants,-3.8,-4.75861,-3.4002370546147684,-4.079423527307384,28,28,-2.225806451612903,-0.75,-0.25,-0.75,0.0,-1.75,0.0,0.0,-1.75,-3.3639883485147957,Synthesized from Week 12 charts
2025,12,WAS,Commanders,-6.8,-3.3787,-1.942944293081162,-2.660822146540581,26,25,-1.7419354838709675,-0.25,-0.5,-0.25,0.0,-1.0,0.0,0.0,-1.0,-3.9666337407363685,Synthesized from Week 12 charts
2025,12,CIN,Bengals,-6.3,-5.12633,-3.0982090492560643,-4.112269524628032,23,26,-1.5483870967741935,0.5,-0.5,-0.25,0.0,-0.25,0.0,0.0,-0.25,-4.088358276743248,Synthesized from Week 12 charts
2025,12,CLE,Browns,-6.1,-4.77427,-4.122747108418034,-4.448508554209017,31,29,-2.6129032258064515,-0.75,0.25,-0.5,0.0,-1.0,0.0,0.0,-1.0,-4.397133211423995,Synthesized from Week 12 charts
2025,12,NO,Saints,-6.0,-6.71426,-3.7137997151364166,-5.2140298575682085,27,31,-2.419354838709677,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,-0.5,-4.498079925012398,Synthesized from Week 12 charts
2025,12,NYJ,Jets,-8.7,-6.04238,-3.866319708900101,-4.954349854450051,29,30,-2.516129032258064,-0.75,0.25,-0.5,0.0,-1.0,0.0,0.0,-1.0,-5.569530762786628,Synthesized from Week 12 charts
2025,12,TEN,Titans,-8.7,-8.37784,-5.488430156435783,-6.933135078217892,32,32,-3.0,-0.75,0.0,-0.75,0.0,-1.5,0.0,0.0,-1.5,-6.309940523465368,Synthesized from Week 12 charts
