X.1,X.2,~~~Ratings~~~,X.3,X.4,~~~2025 Forecast~~~,X.5,X.6,X.7,X.8
Team,Div.,Off.,Def.,Ovr.,Avg. Wins,PO%,Div%,Cnf%,SB%
Rams,NFCW,3.932112924,4.835937439,8.768050363,12.525,96.3,56.7,25.9,16.8
Seahawks,NFCW,4.624892072,2.260843771,6.885735843,12.092,95.1,35.9,18.1,10.1
Chiefs,AFCW,1.98075851,4.804841963,6.785600473,10.408,70.2,25.8,14.3,7.9
Lions,NFCN,5.767719765,0.558504783,6.326224547,11.239,88.3,64.1,16.4,8.8
Texans,AFCS,0.584677071,5.063003772,5.647680843,8.949,44.3,15.1,7.4,3.8
Eagles,NFCE,2.27244888,2.703514954,4.975963834,12.284,98.2,97.4,18.8,9
Colts,AFCS,5.680081452,-0.814170574,4.865910877,11.653,89.3,71.8,20.7,9.5
Bills,AFCE,3.757645758,-0.064877794,3.692767963,10.846,80.5,24.9,11,4.8
Ravens,AFCN,3.338916926,0.181023704,3.519940629,9.341,63.5,61.1,7.4,3.7
Broncos,AFCW,-1.229269911,4.374680287,3.145410376,11.987,91.8,54.1,13.6,5.6
Buccaneers,NFCS,1.951169784,1.148080147,3.099249931,10.978,95.5,93.8,7.9,3.5
49ers,NFCW,1.557745684,1.072038298,2.629783982,10.346,80.1,7.3,5.1,2.7
Chargers,AFCW,0.411981455,1.387338122,1.799319577,10.395,71.8,20.1,6.2,2.8
Packers,NFCN,-0.737343549,2.530456084,1.793112536,9.637,59.2,18.3,4.1,2.2
Patriots,AFCE,1.289872345,0.113172919,1.403045264,12.372,95.6,75,12.7,4.7
Jaguars,AFCS,1.040616488,-1.04162221,-0.001005722,9.156,42.2,13.1,4.2,1.6
Cardinals,NFCW,-0.475927187,0.208540216,-0.267386971,6.364,4,0.1,0.4,0.3
Steelers,AFCN,-1.190930542,0.243221177,-0.947709364,8.905,45.5,35.4,2.5,1
Vikings,NFCN,-1.284598324,0.002137888,-1.282460436,7.678,16.9,5.3,0.9,0.4
Bears,NFCN,-0.487058539,-2.231169342,-2.718227881,9.239,44.2,12.3,1.7,0.5
Cowboys,NFCE,3.19480725,-6.04442565,-2.849618401,6.763,5.8,1.3,0.2,0.1
Falcons,NFCS,-3.370228037,0.093973138,-3.276254899,6.547,5.6,1.2,0.1,0.1
Commanders,NFCE,-0.288760683,-3.005876935,-3.294637618,5.815,1.3,1.3,0.1,0
Dolphins,AFCE,-1.890836886,-1.589872472,-3.480709358,6.265,0.8,0.1,0,0
Giants,NFCE,-1.594432838,-2.825321384,-4.419754222,4.868,0.2,0,0,0
Bengals,AFCN,1.826231095,-7.39262646,-5.566395365,5.793,3.5,2.7,0,0
Raiders,AFCW,-5.377066509,-0.415091014,-5.792157524,4.714,0.1,0,0,0
Panthers,NFCS,-5.432565826,-0.511335914,-5.94390174,6.99,8.8,4.5,0.2,0.1
Saints,NFCS,-5.925149994,-0.195790367,-6.120940361,4.884,0.5,0.5,0.1,0
Jets,AFCE,-3.608386368,-2.956612501,-6.564998869,4.661,0.1,0,0,0
Browns,AFCN,-6.229438796,-0.563639242,-6.793078039,4.981,0.8,0.8,0,0
Titans,AFCS,-5.114062623,-2.479272197,-7.59333482,3.325,0,0,0,0
