Date,Time (ET),Matchup,Favorite,Win Prob.
2025-11-13,8:15PM,New York Jets at New England Patriots,NE -9,78.27970778
2025-11-16,4:05PM,San Francisco 49ers at Arizona Cardinals,ARI -1,54.16367499
2025-11-16,1:00PM,Carolina Panthers at Atlanta Falcons,ATL -3.5,62.06944233
2025-11-16,1:00PM,Tampa Bay Buccaneers at Buffalo Bills,BUF -4.5,65.56820387
2025-11-16,4:25PM,Baltimore Ravens at Cleveland Browns,BAL -5.5,69.26977318
2025-11-16,4:25PM,Kansas City Chiefs at Denver Broncos,DEN -2.5,58.35857706
2025-11-16,1:00PM,Los Angeles Chargers at Jacksonville Jaguars,LAC -2,57.37645508
2025-11-16,4:05PM,Seattle Seahawks at Los Angeles Rams,LAR -3,60.84372784
2025-11-16,9:30AM,Miami Dolphins vs. Washington Commanders,WSH -0.5,51.0195478
2025-11-16,1:00PM,Chicago Bears at Minnesota Vikings,MIN -3.5,62.46364603
2025-11-16,1:00PM,Green Bay Packers at New York Giants,GB -6.5,71.73148086
2025-11-16,8:20PM,Detroit Lions at Philadelphia Eagles,PHI -3.5,61.59504198
2025-11-16,1:00PM,Cincinnati Bengals at Pittsburgh Steelers,PIT -5,67.59440522
2025-11-16,1:00PM,Houston Texans at Tennessee Titans,HOU -8.5,77.70498254
2025-11-17,8:15PM,Dallas Cowboys at Las Vegas Raiders,DAL -0.5,51.75779525
